Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	1163.71	362.5	3.8299e-16 1.11495e-15	-8.94254e-12 4.25782e-11	3.73523e-12 1.46748e-12	1.92797e-13 1.02116e-13	3.10896e-15 1.88001e-15	3.02557e-15 2.93061e-15	
15	774.599	267	-2.61297e-15 1.84993e-15	2.57753e-08 1.91346e-09	8.24983e-12 4.41132e-12	1.19459e-12 3.62109e-13	1.72202e-14 9.10111e-15	1.01383e-15 6.55679e-16	
25	522.082	192.5	4.47688e-14 4.06879e-14	1.62205e-07 1.01313e-08	-3.38681e-12 1.18563e-11	4.40517e-12 1.25102e-12	3.57308e-14 5.18605e-14	3.05472e-17 1.1124e-15	
35	338.719	134.5	4.73484e-14 4.74876e-14	4.25965e-07 2.91901e-08	5.67698e-11 4.98578e-11	2.61895e-12 2.59581e-12	1.47414e-14 8.8146e-14	1.16911e-14 1.52788e-14	
45	208.477	90	9.27319e-15 9.80102e-15	8.74552e-07 6.81407e-08	6.50909e-11 4.12712e-11	6.8908e-13 7.57164e-12	8.42599e-15 1.77036e-13	2.73401e-14 2.25836e-14	
55	123.767	56.5	4.83085e-14 3.14563e-14	9.17385e-07 1.05517e-07	-2.77176e-11 1.00712e-10	-1.18451e-11 1.14555e-11	-8.59814e-13 2.99181e-13	6.24116e-14 3.30442e-14	
65	nan	32.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
75	nan	16.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
85	nan	7	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
