Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	1010.79	387.5	0.0459318 0.053376	0.591662 0.0358439	0.335397 0.0683792	
7.5	960.461	334	0.022511 0.0373164	0.85038 0.0144908	0.594219 0.0431709	
12.5	652.422	287	0.0288662 0.0444835	0.7941 0.0139902	0.0786944 0.0441804	
17.5	672.571	245	0.101166 0.0414442	0.802135 0.0117747	0.0326613 0.0433332	
22.5	441.456	207.5	0.0225949 0.0457098	0.806144 0.0125767	0.0132991 0.0472194	
27.5	439.791	175	0.00751222 0.0481258	0.826993 0.0108287	0.0485843 0.0506348	
32.5	284.497	146.5	0.0780124 0.0379902	0.817783 0.0130767	0.0386178 0.0513755	
37.5	284.125	121	0.0170264 0.053824	0.811365 0.0130637	0.0207236 0.0470723	
42.5	165.233	99	0.0315683 0.0372941	0.765732 0.0167914	0.0266478 0.0463669	
47.5	173.463	80	0.0211169 0.0521059	0.798272 0.0149043	0.0494402 0.0481037	
52.5	127.977	63	0.00918971 0.0468618	0.213958 0.0314399	0 nan	
57.5	126.218	48.5	inf nan	inf nan	0 nan	
62.5	nan	37	nan nan	nan nan	nan nan	
67.5	nan	27.5	nan nan	nan nan	nan nan	
72.5	nan	19.5	nan nan	nan nan	nan nan	
77.5	nan	13	nan nan	nan nan	nan nan	
82.5	nan	8	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	
