Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	942.079	408.5	0.141994 0.0613053	0.0717672 0.112333	5.23289 3.15922	0.0380433 0.0493485	0.0835436 0.0806036	-3.05585 2.18221	
1.5	966.455	396	0.300802 0.0313264	0.366704 0.0806594	-4.05033 3.55432	0.145499 0.00152378	0.0762857 0.00440876	4.21218 0.155322	
2.5	1025.81	386	0.232605 0.00408517	0.234091 0.0125738	-0.0844755 0.477019	0.0650133 0.000974314	0.0923506 0.000555819	-1.19195 0.115044	
3.5	967.916	375.5	0.239445 0.000539193	0.294429 0.00387427	-2.1065 0.167483	0.0153524 0.0144158	0.0582214 0.0160771	-1.76162 0.0681421	
4.5	903.767	364.5	0.291394 0.00429783	0.361878 0.0138066	-2.14696 0.259134	-0.0145433 0.00222617	-0.0700153 0.00399987	3.03164 0.125214	
5.5	1036.95	354	0.237561 0.00020792	0.255191 0.00763608	-0.498424 0.301958	0.123592 3.44871e-05	0.0914382 0.000497416	1.47474 0.00619109	
6.5	1029.43	344	0.20954 0.00854058	0.297941 0.0483994	-2.20867 0.572818	0.119347 0.000120936	0.0932695 0.000520259	1.34374 0.0077192	
7.5	980.197	334	0.224294 0.000187049	0.275703 0.00189336	-1.21083 0.0561282	0.0941136 0.010922	0.0913455 0.0386283	0.0987513 0.167689	
8.5	966.6	324	0.212123 2.80428e-05	0.252647 0.00473746	-0.794447 0.129029	0.100853 0.00233106	0.0971393 0.00559091	0.141332 0.150265	
9.5	911.889	314	0.205362 0.000549915	0.236214 0.00122991	-0.48751 0.00175783	0.0823589 0.00204856	0.0565445 0.0251626	1.02971 0.441734	
10.5	684.188	304.5	0.203797 2.64334e-06	0.347682 0.00863437	-2.08803 0.168291	0.0358612 0.00111023	0.0445923 0.00328132	-0.242115 0.0596883	
