Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	976.859	362.5	0.21688 0.000131081	0.250619 0.000128826	-0.708946 0.00382942	0.0905339 0.000419334	0.0814787 0.00398842	0.387237 0.0688672	
15	663.854	267	0.187063 1.45587e-05	0.277709 0.00163143	-0.905786 0.017984	0.00394279 4.86827e-05	0.0127521 0.000137942	-0.251182 0.00241603	
25	440.483	192.5	0.179483 0.000114202	0.276753 0.000125737	-0.563419 0.0011061	-0.00502205 0.000132404	-0.00391011 0.000171839	-0.0216744 0.000681131	
35	283.991	134.5	0.168172 0.000277923	0.272675 0.00100888	-0.455604 0.00218667	-0.000686585 0.000266127	-0.00316307 0.000467705	0.0351322 0.00288596	
45	168.843	90	0.153495 0.000536837	0.244326 0.00418191	-0.305764 0.0132812	-0.0049367 0.000115844	-0.0137175 0.00013849	0.0825394 0.00222187	
55	126.779	56.5	0.146625 0	0.268935 0	-0.422192 0	-0 nan	nan nan	nan nan	
65	nan	32.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
75	nan	16.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
85	nan	7	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
