Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	1010.79	387.5	2.38719 0.118185
7.5	960.461	334	2.43434 0.0845341
12.5	652.422	287	2.96773 0.116692
17.5	672.571	245	2.99318 0.101847
22.5	441.456	207.5	3.18056 0.123664
27.5	439.791	175	3.16699 0.124006
32.5	284.497	146.5	3.2407 0.140598
37.5	284.125	121	3.41876 0.138811
42.5	165.233	99	3.38697 0.143724
47.5	173.463	80	3.30472 0.148796
52.5	127.977	63	3.39295 0.171068
57.5	126.218	48.5	3.52547 0.187346
62.5	nan	37	nan nan
67.5	nan	27.5	nan nan
72.5	nan	19.5	nan nan
77.5	nan	13	nan nan
82.5	nan	8	nan nan
87.5	nan	5	nan nan
92.5	nan	3	nan nan
97.5	nan	1.5	nan nan
