Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	976.859	362.5	-7.90027e-06 4.77622e-06	2.16662e-06 2.44438e-07	1.88585e-09 1.18833e-08	1.29575e-09 1.29132e-09	1.30316e-12 1.16201e-10	-1.3855e-11 1.06697e-11	
15	663.854	267	-2.73159e-05 1.06809e-05	1.02519e-05 7.59708e-07	-7.63061e-09 2.52411e-08	6.35265e-09 2.3678e-09	-1.30277e-10 2.78829e-10	-6.86742e-12 2.37084e-11	
25	440.483	192.5	-5.19255e-05 2.60317e-05	2.76785e-05 2.14615e-06	8.34425e-09 2.92476e-08	2.65936e-09 5.2478e-09	8.79844e-10 4.12196e-10	-6.80377e-11 3.97269e-11	
35	283.991	134.5	-0.149208 0.149028	4.28878e-05 3.59284e-06	5.14199e-08 3.99354e-08	7.61248e-09 8.30073e-09	6.22353e-10 4.93385e-10	-1.8293e-10 8.21059e-11	
45	168.843	90	-0.0271859 0.026389	5.37947e-05 5.30816e-06	1.59128e-07 4.93126e-08	5.51293e-09 9.67987e-09	-2.18489e-10 7.78984e-10	-1.44909e-10 5.1097e-11	
55	126.779	56.5	-0.000166969 6.64042e-05	6.68463e-05 6.84185e-06	-1.0444e-07 7.13891e-08	6.42469e-09 1.48192e-08	-1.65562e-09 7.16897e-10	-3.03658e-10 1.12447e-10	
65	nan	32.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
75	nan	16.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
85	nan	7	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
