Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	942.079	408.5	0.916979 0.0383452	-0.652789 0.370979	0.87568 0.0530891	
1.5	966.455	396	0.910996 0.0561107	-0.905296 0.185729	-0.569283 0.532246	
2.5	1025.81	386	0.776017 0.0846197	0.39169 0.608489	-0.461505 0.695279	
3.5	967.916	375.5	0.772001 0.0868566	0.793418 0.0716086	-0.663091 0.186414	
4.5	903.767	364.5	0.906957 0.0300804	-0.522678 0.494033	-0.537227 0.440887	
5.5	1036.95	354	0.766556 0.0674712	0.623458 0.165036	0.715456 0.0966213	
6.5	1029.43	344	0.822827 0.040475	0.417633 0.70895	0.692022 0.0964155	
7.5	980.197	334	0.754022 0.0866911	-0.655317 0.201038	0.688541 0.0861152	
8.5	966.6	324	0.870077 0.0243964	0.612612 0.118954	0.643027 0.107855	
9.5	911.889	314	0.754542 0.0639454	0.479009 0.379424	0.648764 0.126672	
10.5	684.188	304.5	0.794773 0.0695942	-0.833208 0.323986	0.122667 1.78976	
11.5	657.217	295.5	0.909343 0.0202146	0.657428 0.151411	0.77823 0.0639384	
12.5	663.211	286.5	0.909587 0.0201916	-0.714047 0.188473	0.785705 0.0591695	
13.5	611.677	277.5	0.906197 0.0203635	0.571445 0.233947	0.585099 0.242517	
14.5	643.613	269	0.889033 0.0292101	-0.454664 0.582374	-0.561262 0.293322	
15.5	656.986	260.5	0.896647 0.0308403	0.6726 0.179082	0.711629 0.10269	
16.5	681.857	252	0.881399 0.0274795	0.742348 0.0753738	0.706617 0.0982932	
17.5	639.4	244	0.895991 0.0211911	-0.582523 0.36966	0.715991 0.104968	
18.5	675.247	236.5	0.85618 0.0314687	-0.591902 0.24283	0.789014 0.0554124	
19.5	705.631	229	0.871737 0.0301497	0.7576 0.0741703	-0.669045 0.21491	
20.5	437.3	221.5	0.885121 0.0252314	0.698903 0.12721	-0.562585 0.540439	
21.5	423.739	214	0.852557 0.0591866	-0.781614 0.190958	-0.907811 0.163975	
22.5	473.169	207	0.824838 0.0716682	-0.448151 0.750286	-0.551135 0.332516	
23.5	441.509	200.5	0.934396 0.012561	-0.676977 0.243353	0.698501 0.108017	
24.5	445.482	193.5	0.880033 0.0397327	0.719005 0.0952113	-0.651702 0.2453	
25.5	427.794	187	0.922961 0.0180964	0.572472 0.252226	0.778827 0.0684993	
26.5	436.622	180.5	0.881452 0.040661	0.500821 0.380472	0.664843 0.139439	
27.5	444.444	174	0.873854 0.0315424	0.68551 0.114117	0.794224 0.0603923	
28.5	425.683	168	0.937899 0.0163027	0.810986 0.0662597	0.704587 0.138958	
29.5	456.981	162.5	0.894493 0.0253327	-0.762804 0.212831	0.695454 0.126377	
30.5	265.66	157	0.840357 0.0554818	0.57965 0.251346	-0.505169 0.434129	
31.5	270.789	151	0.911457 0.0225558	0.795354 0.070223	0.577352 0.299934	
32.5	294.577	145.5	0.908443 0.0263123	0.440707 0.530291	-0.616169 0.257386	
33.5	292.563	140.5	0.832236 0.102322	0.533381 0.440189	0.527383 0.411811	
34.5	297.527	135.5	0.894933 0.0298622	0.55642 0.339081	-0.517703 0.49518	
35.5	287.639	130.5	0.881564 0.0249421	0.591278 0.213952	-0.61127 0.217224	
36.5	291.156	125.5	0.925933 0.0194686	0.818506 0.0545285	0.762249 0.115862	
37.5	290.532	120.5	0.845748 0.0533596	0.806303 0.0916779	0.690129 0.154608	
38.5	268.29	116	0.903397 0.0210466	0.585164 0.238731	-0.348786 0.62124	
39.5	280.463	111.5	0.905691 0.0252535	-0.572267 0.274236	0.777329 0.0646281	
40.5	159.571	107	0.699008 0.110399	0.816197 0.0501811	-0.699202 0.378454	
41.5	163.736	103	0.860569 0.0459207	0.803724 0.0651365	0.716661 0.121207	
42.5	162.032	98.5	0.911848 0.0183081	0.611576 0.195636	-0.648216 0.261737	
43.5	170.033	94	0.869925 0.0325991	0.678645 0.17624	0.572399 0.28703	
44.5	175.386	90.5	0.843804 0.0540818	0.780721 0.0831213	0.589421 0.343028	
45.5	176.912	87	0.889075 0.0324281	0.756468 0.105923	0.437546 0.625549	
46.5	167.127	83	0.847104 0.0448732	-0.362384 0.657407	0.58138 0.29532	
47.5	178.848	79.5	0.840939 0.0694281	0.815866 0.0698103	-1.00458 0.127416	
48.5	168.962	76	0.946307 0.0118842	0.680767 0.13482	0.783718 0.0736464	
49.5	181.353	72.5	0.898623 0.0277705	0.658686 0.181086	0.647105 0.212047	
50.5	140.174	69	0.693733 0.110737	0.390652 0.584308	-0.962977 0.194328	
51.5	113.786	65.5	0.906144 0.0313512	0.678105 0.170239	0.561254 0.353377	
52.5	125.232	62.5	0.879736 0.0378357	-0.678561 0.276122	0.740401 0.102635	
53.5	125.352	59.5	0.883888 0.0273273	-0.436569 0.748402	0.764639 0.0708556	
54.5	125.271	56.5	0.853292 0.0396932	-0.635959 0.515183	-0.491856 0.552373	
55.5	124.335	54	0.85846 0.0490721	0.681 0.144558	0.634391 0.251225	
56.5	119.559	51.5	0.912828 0.0172313	-0.709476 0.171834	0.742549 0.0778178	
57.5	124.97	48.5	0.905883 0.0218311	-0.440658 0.677807	0.715523 0.108733	
58.5	123.947	46	0.885854 0.0347097	-0.288725 0.884628	0.44631 0.542724	
59.5	128.656	43.5	0.811774 0.0485214	-0.568434 0.22266	-0.833464 0.347532	
60.5	nan	41	nan nan	nan nan	nan nan	
61.5	nan	39	nan nan	nan nan	nan nan	
62.5	nan	37	nan nan	nan nan	nan nan	
63.5	nan	35	nan nan	nan nan	nan nan	
64.5	nan	33	nan nan	nan nan	nan nan	
65.5	nan	31	nan nan	nan nan	nan nan	
66.5	nan	29	nan nan	nan nan	nan nan	
67.5	nan	27	nan nan	nan nan	nan nan	
68.5	nan	25	nan nan	nan nan	nan nan	
69.5	nan	23.5	nan nan	nan nan	nan nan	
70.5	nan	22	nan nan	nan nan	nan nan	
71.5	nan	20.5	nan nan	nan nan	nan nan	
72.5	nan	19	nan nan	nan nan	nan nan	
73.5	nan	17.5	nan nan	nan nan	nan nan	
74.5	nan	16.5	nan nan	nan nan	nan nan	
75.5	nan	15.5	nan nan	nan nan	nan nan	
76.5	nan	14	nan nan	nan nan	nan nan	
77.5	nan	12.5	nan nan	nan nan	nan nan	
78.5	nan	11.5	nan nan	nan nan	nan nan	
79.5	nan	10.5	nan nan	nan nan	nan nan	
80.5	nan	9.5	nan nan	nan nan	nan nan	
81.5	nan	9	nan nan	nan nan	nan nan	
82.5	nan	8.5	nan nan	nan nan	nan nan	
83.5	nan	7.5	nan nan	nan nan	nan nan	
84.5	nan	6.5	nan nan	nan nan	nan nan	
85.5	nan	6	nan nan	nan nan	nan nan	
86.5	nan	5.5	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	
88.5	nan	4.5	nan nan	nan nan	nan nan	
89.5	nan	4	nan nan	nan nan	nan nan	
90.5	nan	3.5	nan nan	nan nan	nan nan	
91.5	nan	3	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	
93.5	nan	2.5	nan nan	nan nan	nan nan	
94.5	nan	2	nan nan	nan nan	nan nan	
95.5	nan	2	nan nan	nan nan	nan nan	
96.5	nan	1.5	nan nan	nan nan	nan nan	
97.5	nan	1	nan nan	nan nan	nan nan	
98.5	nan	1	nan nan	nan nan	nan nan	
99.5	nan	0	nan nan	nan nan	nan nan	
