Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	976.859	362.5	0.819425 0.0164739	0.341413 0.42545	0.525915 0.122956	
15	663.854	267	0.882561 0.00992631	-0.432072 0.323163	0.636729 0.0552406	
25	440.483	192.5	0.884548 0.0119145	0.371001 0.316333	0.446795 0.201684	
35	283.991	134.5	0.895968 0.00858987	0.556319 0.103568	0.516047 0.132844	
45	168.843	90	0.880793 0.0104856	0.69167 0.0458972	0.463082 0.193743	
55	126.779	56.5	0.875235 0.0114633	-0.606049 0.108005	0.456337 0.225499	
65	nan	32.5	nan nan	nan nan	nan nan	
75	nan	16.5	nan nan	nan nan	nan nan	
85	nan	7	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	
