Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	1197.36	362.5	0.103067 0.00166697	 0.0287941 0.000438652	 0.0149973 0.000234384	 0.0097937 0.00015491	 0.00523286 8.81112e-05	 0.00279004 5.88207e-05	 
15	804.728	267	0.222686 0.0530092	 0.0500915 0.000509428	 0.0176643 0.000275498	 0.0124556 0.000184809	 0.00667367 0.000111661	 0.00386625 7.08905e-05	 
25	545.904	192.5	0.27411 0.073084	 0.0632106 0.000614654	 0.0193414 0.000324365	 0.0153641 0.000237437	 0.00839164 0.000147417	 0.00483741 8.30222e-05	 
35	357.599	134.5	0.666627 0.20182	 0.0726004 0.000832644	 0.020584 0.000367303	 0.018366 0.000310865	 0.0101461 0.000171666	 0.00564486 0.000106482	 
45	221.269	90	0.688342 0.295054	 0.0790836 0.00103683	 0.0215952 0.000387814	 0.0218076 0.000402033	 0.0116536 0.000208596	 0.00630546 0.000131605	 
55	131.818	56.5	85.6731 80.1788	 0.082387 0.00131802	 0.0229044 0.000482433	 0.0246415 0.000461985	 0.0130579 0.000269411	 0.00647666 0.000146897	 
65	nan	32.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
75	nan	16.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
85	nan	7	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
95	nan	2.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
