Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	1321.85	387.5	0.0974639 0.00194436	 0.0212138 0.000455406	 0.0136477 0.000283741	 0.0088333 0.000178179	 0.00458378 9.73079e-05	 0.00247346 5.48114e-05	 
7.5	1075.13	334	0.109893 0.00258996	 0.035019 0.000580059	 0.0162548 0.000348708	 0.0106777 0.000231205	 0.00581073 0.000129543	 0.00307941 9.15468e-05	 
12.5	887.517	287	0.159237 0.00453498	 0.0462458 0.000611917	 0.0171204 0.000371893	 0.0117311 0.000226132	 0.00626962 0.000134911	 0.00355067 8.74016e-05	 
17.5	730.07	245	0.282706 0.0806007	 0.0532346 0.000722928	 0.0179224 0.000372972	 0.012988 0.000266347	 0.00695768 0.000160365	 0.00407219 0.000100605	 
22.5	599.441	207.5	0.30998 0.120399	 0.0601997 0.000764437	 0.0188109 0.000424268	 0.0146339 0.000280966	 0.00795945 0.000189059	 0.00465123 0.000115399	 
27.5	492.356	175	0.921951 0.685667	 0.065781 0.000877886	 0.0200205 0.000458178	 0.0159243 0.000348322	 0.00882548 0.000201779	 0.00497019 0.000106673	 
32.5	361.989	146.5	0.438037 0.0700036	 0.0726407 0.00120574	 0.021117 0.00057593	 0.0185018 0.000449135	 0.0100869 0.000246609	 0.00581733 0.000159473	 
37.5	353.286	121	0.826535 0.334975	 0.0724264 0.0011547	 0.0200967 0.000456843	 0.0182078 0.000432259	 0.0101942 0.000239159	 0.00546324 0.000140566	 
42.5	219.625	99	0.86446 0.527168	 0.0812507 0.00146965	 0.0211927 0.000555359	 0.0225324 0.000583452	 0.0112933 0.000290889	 0.00613689 0.000173467	 
47.5	223.175	80	0.447519 0.147238	 0.0773644 0.00144363	 0.021954 0.000545764	 0.021173 0.000542807	 0.0120245 0.00029662	 0.00644868 0.000195699	 
52.5	132.592	63	124.697 124.066	 0.0847276 0.0019109	 0.0239564 0.000754384	 0.0251718 0.000692132	 0.0131754 0.000429038	 0.00669692 0.00022321	 
57.5	131.561	48.5	7.43431 7.04549	 0.0807038 0.00178243	 0.0216945 0.000592781	 0.0240954 0.000620935	 0.012936 0.000336723	 0.00628447 0.000191274	 
62.5	nan	37	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
67.5	nan	27.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
72.5	nan	19.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
77.5	nan	13	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
82.5	nan	8	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
87.5	nan	5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
92.5	nan	3	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
97.5	nan	1.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
