Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
2.5	1321.85	387.5	1.39442e-07 3.57897e-08	4.24642e-13 4.14498e-12	4.3959e-13 2.90537e-13	2.13311e-14 1.9958e-14	2.30723e-16 4.00213e-16	2.89658e-19 1.04642e-17	
7.5	1075.13	334	9.89041e-07 8.14934e-07	5.91015e-10 9.48379e-11	1.84021e-12 8.51048e-13	1.28115e-13 6.89739e-14	2.24937e-15 1.71534e-15	1.50705e-15 1.48471e-15	
12.5	887.517	287	2.58805e-05 2.22871e-05	5.08713e-09 5.37416e-10	1.26818e-12 1.0999e-12	3.86351e-13 1.18658e-13	4.21022e-15 2.86539e-15	9.59825e-16 5.97652e-16	
17.5	730.07	245	3.36207 3.35291	1.15447e-08 1.266e-09	2.86672e-12 1.47122e-12	3.53207e-13 2.03648e-13	3.79602e-15 5.51994e-15	5.02769e-16 2.7273e-16	
22.5	599.441	207.5	13.9747 13.9595	2.56993e-08 2.55642e-09	3.43807e-12 2.37619e-12	1.00772e-12 4.38893e-13	2.34626e-14 2.20482e-14	6.24373e-16 7.35557e-16	
27.5	492.356	175	27478.7 27477.5	4.34526e-08 4.54793e-09	1.20839e-12 2.95499e-12	2.38092e-13 7.40653e-13	4.21965e-14 2.47234e-14	6.77107e-16 6.62646e-16	
32.5	361.989	146.5	4.89498 4.3098	6.37051e-08 8.80875e-09	3.1245e-11 3.01696e-11	1.45874e-12 1.86875e-12	2.67668e-14 5.23899e-14	1.31662e-14 1.27935e-14	
37.5	353.286	121	3734.71 3727.24	6.12322e-08 8.41893e-09	2.04382e-12 3.00984e-12	-8.54617e-14 1.84753e-12	-9.7092e-14 5.50894e-14	1.53704e-15 1.8906e-15	
42.5	219.625	99	7481.55 7480.79	1.17665e-07 1.80011e-08	4.31745e-13 4.87894e-12	5.56882e-12 6.68976e-12	-4.85695e-14 1.13056e-13	5.59261e-15 4.17912e-15	
47.5	223.175	80	38.4468 38.3241	7.53356e-08 1.39886e-08	7.86561e-12 5.47123e-12	7.66278e-13 4.8125e-12	2.00442e-14 1.61976e-13	1.02888e-14 1.13023e-14	
52.5	132.592	63	8.59936e+16 8.59853e+16	7.62299e-08 2.41205e-08	6.50256e-11 7.08466e-11	-7.13308e-12 1.42223e-11	2.30486e-12 2.78743e-12	9.24736e-15 1.91512e-14	
57.5	131.561	48.5	4.96911e+09 4.96874e+09	4.60614e-08 1.62543e-08	-6.06161e-12 6.03926e-12	-7.56154e-12 1.02445e-11	-1.43873e-13 2.54312e-13	1.81791e-14 1.68914e-14	
62.5	nan	37	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
67.5	nan	27.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
72.5	nan	19.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
77.5	nan	13	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
82.5	nan	8	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
