centrality	e2{4}/e2{2}	err	e3{4}/e3{2}	err
2.5	0.577398	0.076424	-nan	-nan
7.5	0.538534	0.0945498	0.616969	0.0575967
12.5	0.647107	0.0488856	0.656225	0.0547092
17.5	0.681206	0.0365253	0.643734	0.049957
22.5	0.748667	0.0226304	0.743946	0.0238156
27.5	0.768745	0.0196798	0.726229	0.0258002
32.5	0.829764	0.0123395	0.735455	0.0236533
37.5	0.82953	0.0117033	0.744143	0.0224615
42.5	0.859718	0.00931811	0.723218	0.0260153
47.5	0.879537	0.00779256	0.728176	0.0257732
52.5	0.856772	0.00990985	0.633968	0.0446843
57.5	0.866562	0.00923689	-nan	-nan
62.5	0.810419	0.0145032	-nan	-nan
67.5	0.685034	0.0335034	-nan	-nan
72.5	0.251147	0.947614	-nan	-nan
77.5	-nan	-nan	-nan	-nan
82.5	-nan	-nan	-nan	-nan
87.5	-nan	-nan	-nan	-nan
92.5	-nan	-nan	-nan	-nan
