Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	1076.62	409	0.0103467 0.000328108	 0.0255442 0.000696391	 0.0209016 0.000614607	 0.0130405 0.000388145	 0.00687562 0.000188	 0.00364325 0.000109107	 
1.5	1008.02	397.5	0.0121553 0.00154963	 0.0295769 0.00172853	 0.0213811 0.00081286	 0.0144563 0.000674508	 0.00760127 0.00065549	 0.00435246 0.000714813	 
2.5	970.4	387.5	0.016016 0.00477522	 0.0325744 0.00150996	 0.0236114 0.000963998	 0.0140106 0.00039086	 0.00765705 0.000538988	 0.00508875 0.00154318	 
3.5	928.425	377	0.0116493 0.000358056	 0.0341211 0.000931149	 0.0234416 0.000693817	 0.0133328 0.000397249	 0.00713698 0.000211858	 0.00381344 0.000117713	 
4.5	891.216	366.5	0.0118111 0.000365798	 0.0363963 0.000911633	 0.0248214 0.000711599	 0.0146801 0.000417084	 0.00730908 0.000200975	 0.00391946 0.000121604	 
5.5	857.537	356	0.0122758 0.000399689	 0.0387204 0.00102542	 0.0257453 0.000728761	 0.0151304 0.000402125	 0.00789055 0.000206411	 0.00379228 0.000113854	 
6.5	825.198	345.5	0.012433 0.000381674	 0.0437779 0.00113503	 0.0254758 0.000794778	 0.0152398 0.000439761	 0.00756157 0.00023129	 0.00400611 0.000113889	 
7.5	792.967	335	0.0132971 0.000488649	 0.0458098 0.00113324	 0.0263695 0.000861047	 0.0160659 0.000427081	 0.00758886 0.000221747	 0.004166 0.000133962	 
8.5	759.873	325	0.0123343 0.000355521	 0.0477355 0.00104904	 0.0272303 0.000757639	 0.0167533 0.000414819	 0.00811614 0.00019942	 0.00412508 0.000113485	 
9.5	732.51	315	0.0136177 0.000432868	 0.0500928 0.00106386	 0.0264794 0.000753625	 0.0159749 0.000405106	 0.00767204 0.000215635	 0.00422025 0.000114991	 
10.5	704.597	305.5	0.015313 0.00184075	 0.0545302 0.00135352	 0.0282708 0.000909709	 0.0169672 0.000640703	 0.0086269 0.000522683	 0.00451504 0.000366325	 
11.5	677.671	296	0.0144806 0.000461174	 0.0569782 0.00124924	 0.0285239 0.000828159	 0.0160604 0.000462325	 0.00835905 0.000234869	 0.00429389 0.000145155	 
12.5	655.649	286.5	0.0145386 0.000498754	 0.0594923 0.0012698	 0.0284645 0.00088173	 0.017595 0.000461892	 0.00855336 0.00023643	 0.00436594 0.00012346	 
13.5	629.062	277.5	0.0152291 0.00054531	 0.0637091 0.00137922	 0.0283998 0.000809578	 0.0169804 0.000463619	 0.008184 0.000245345	 0.00444158 0.000135345	 
14.5	605.323	269	0.0150166 0.000568248	 0.0666288 0.00138682	 0.0298819 0.000914714	 0.0172464 0.000473045	 0.0085067 0.000228409	 0.00433815 0.000130537	 
15.5	584.105	260.5	0.0157019 0.000591029	 0.0659783 0.00133715	 0.03053 0.000844661	 0.0172597 0.000454751	 0.00868398 0.00023267	 0.00460352 0.000129039	 
16.5	561.418	252	0.0161505 0.000550177	 0.0668524 0.00130065	 0.0312653 0.000805315	 0.0172207 0.000462488	 0.00858533 0.000212096	 0.00456744 0.00012671	 
17.5	539.465	244	0.0162697 0.000568837	 0.0716575 0.00154861	 0.0305636 0.000905478	 0.0181321 0.000515628	 0.00870672 0.000251513	 0.00465161 0.000136258	 
18.5	519.856	236	0.0173652 0.000514058	 0.0737303 0.00146284	 0.0294215 0.000938724	 0.0178225 0.000529573	 0.00885537 0.000232451	 0.00477988 0.000146323	 
19.5	499.744	228.5	0.0171589 0.000612896	 0.0741363 0.00159316	 0.031795 0.000881863	 0.0171168 0.000466641	 0.00938865 0.000262854	 0.00475973 0.000134759	 
20.5	480.676	221	0.0186129 0.000575931	 0.0742431 0.00163327	 0.0308998 0.000875979	 0.0174453 0.000462374	 0.00927166 0.000239218	 0.00475747 0.000150092	 
21.5	462.387	213.5	0.0193107 0.000695683	 0.0799918 0.00148721	 0.03355 0.00106187	 0.0183699 0.000502943	 0.00988112 0.000303395	 0.00497045 0.000170883	 
22.5	442.747	206.5	0.0184017 0.000689803	 0.0827064 0.00154853	 0.0309562 0.000841128	 0.0191611 0.000507607	 0.00914828 0.000265164	 0.00502782 0.000145153	 
23.5	427.013	199.5	0.0194544 0.000744266	 0.0813638 0.0016596	 0.0347533 0.00105123	 0.0191609 0.000540951	 0.00975026 0.000292103	 0.00506219 0.000168848	 
24.5	407.933	192.5	0.0195905 0.000795685	 0.085625 0.00159918	 0.0333108 0.000901687	 0.0190883 0.000498492	 0.0093609 0.00025973	 0.00519172 0.000141594	 
25.5	392.694	186	0.0194926 0.000633224	 0.0855732 0.00175081	 0.0330221 0.00103713	 0.019044 0.000487751	 0.00943568 0.000279657	 0.00529818 0.000159856	 
26.5	375.834	179.5	0.0200114 0.000689992	 0.0893016 0.00179928	 0.0316927 0.000875076	 0.0197276 0.000604398	 0.00954845 0.000271999	 0.00526953 0.000163762	 
27.5	359.405	173	0.021148 0.000747284	 0.0894156 0.00186822	 0.0333321 0.000996917	 0.0192338 0.000510833	 0.00962482 0.000267766	 0.00525599 0.000158487	 
28.5	346.942	167	0.0210404 0.000809407	 0.0896282 0.00161862	 0.03128 0.00093593	 0.0198608 0.000563446	 0.00898589 0.000248418	 0.00515727 0.000153435	 
29.5	329.826	161	0.0214491 0.00074219	 0.0921031 0.00165881	 0.033048 0.000864367	 0.0194856 0.000524279	 0.00973185 0.000261713	 0.00495578 0.00014799	 
30.5	318.217	155	0.0219994 0.000752755	 0.0913682 0.00173449	 0.0346533 0.00106365	 0.0191915 0.000523012	 0.00973899 0.000284871	 0.00517362 0.000161202	 
31.5	304.728	149	0.0227487 0.000724542	 0.0971939 0.00168974	 0.0329593 0.000956169	 0.0197259 0.0005572	 0.0099142 0.000277509	 0.00516959 0.000156262	 
32.5	292.01	143.5	0.0228144 0.000935242	 0.0982676 0.00203588	 0.0351766 0.00108922	 0.0206894 0.000640856	 0.00972701 0.000269521	 0.00515401 0.000156658	 
