Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	872.278	363	-0.392671 0.166103	-0.590163 0.0676047	-0.473829 0.0960565	
15	593.469	267.5	0.813442 0.00803077	0.360491 0.173383	0.526143 0.0575993	
25	400.813	191.5	0.856232 0.00607986	-0.317612 0.311645	0.555297 0.0458825	
35	258.519	132	0.859972 0.00504546	0.376692 0.161782	0.562844 0.0405965	
45	159.807	87	0.834247 0.00693466	0.499696 0.0651304	0.244853 0.563115	
55	91.4574	54	0.821427 0.00779752	0.561671 0.0507733	-0.542859 0.0637865	
65	47.8478	30.5	0.767467 0.0126451	0.527437 0.0559609	-0.790464 0.0327076	
75	21.7534	15.5	0.546599 0.0553596	-0.831017 0.0468605	-0.959132 0.0304533	
85	7.8812	7	-1.09722 0.0248669	-1.11276 0.0320325	-1.30139 0.0259443	
95	1.66201	3	-1.53715 0.047995	-1.73932 0.0687802	-2.00079 0.0935678	
