Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	973.883	388.5	-0.943732 0.216626	-0.813274 0.177818	-0.77239 0.428837	
7.5	792.412	335.5	0.736242 0.0188959	-0.466861 0.171318	0.637258 0.0322114	
12.5	655.061	287.5	0.819534 0.00975776	0.426764 0.138582	0.53099 0.0773285	
17.5	540.805	245	0.831975 0.00917663	0.413472 0.155471	0.515328 0.0840108	
22.5	443.891	207	0.855152 0.00756965	-0.340618 0.289638	0.594704 0.0445426	
27.5	360.46	173.5	0.862885 0.00785728	0.367285 0.22954	0.553049 0.0638455	
32.5	291.218	144	0.863003 0.00664716	0.458986 0.111167	0.486743 0.0861449	
37.5	231.068	118	0.863364 0.00635873	0.321401 0.31639	0.563448 0.0535421	
42.5	181.101	96	0.838548 0.00868057	0.409386 0.149666	0.463252 0.124393	
47.5	139.157	77	0.842992 0.00759937	0.586642 0.0458159	-0.359163 0.313754	
52.5	104.565	60.5	0.830194 0.00837553	0.613089 0.0372462	-0.504734 0.115435	
57.5	76.8303	46.5	0.822846 0.00929381	0.510919 0.0916471	-0.598694 0.0594992	
62.5	55.3177	34.5	0.790307 0.0117399	0.613094 0.0366599	-0.706396 0.0470978	
67.5	39.2472	25	0.797953 0.0117663	-0.58729 0.0732124	-0.754817 0.0342397	
72.5	25.7952	18	0.742954 0.0179973	-0.749824 0.0552482	-0.876808 0.034274	
77.5	16.8906	12.5	-0.598638 0.0621368	-0.887639 0.0376352	-0.991475 0.0263836	
82.5	10.1263	8	-0.994658 0.0242991	-1.0599 0.0484812	-1.25185 0.0249499	
87.5	5.56007	5	-1.24114 0.0269925	-1.28402 0.0300219	-1.43634 0.031351	
92.5	2.59906	3	-1.40359 0.0353876	-1.51794 0.0397494	-1.82505 0.0697872	
97.5	0.709647	2	-1.77309 0.0907184	-1.80546 0.120854	-1.85689 0.0988949	
