Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	1200.23	363	0.259808 1.09834e-06	0.263443 2.24016e-06	-0.16245 3.60879e-05	0.203751 6.12996e-07	0.204669 1.748e-06	-0.0432212 5.85165e-05	
15	639.876	267.5	0.234085 1.35586e-05	0.224847 5.21032e-05	0.0842669 0.000243388	0.172006 6.53835e-06	0.175205 2.79594e-05	-0.0594547 0.000730141	
25	432.835	191.5	0.225543 6.90496e-07	0.209184 0.00016568	0.0911067 0.00124484	0.14688 8.6217e-06	0.152258 7.56447e-05	-0.0656923 0.00108946	
35	281.254	132	0.212989 1.71849e-05	0.187296 0.000258201	0.102021 0.00120841	0.125755 1.41401e-05	0.131681 0.000284714	-0.0492723 0.00185542	
45	173.463	87	0.195764 9.10687e-06	0.160115 5.4836e-05	0.111713 0.000290655	0.102736 8.08616e-06	0.10679 0.000433803	-0.0239027 0.00176852	
55	99.0991	54	0.172119 8.46522e-06	0.135995 0.000105495	0.0900368 0.000441434	0.0749595 8.81103e-06	0.0851693 3.3957e-05	-0.0468574 0.000139373	
65	52.2076	30.5	0.139975 5.56151e-06	0.122843 0.00045487	0.0365422 0.00103781	0.0470037 2.40041e-06	0.0617509 1.09808e-05	-0.054919 8.40839e-05	
75	23.953	15.5	0.0979209 3.19964e-05	0.118927 0.000244419	-0.0405289 0.000535463	0.0232057 5.71939e-07	0.041918 6.97332e-06	-0.0627355 1.85363e-05	
85	8.64243	7	0.0553777 9.75955e-05	0.109563 0.00135459	-0.10034 0.00150232	0.00957068 5.81892e-06	0.0231878 3.73623e-05	-0.037496 8.46789e-05	
95	2.09161	3	0.0274426 1.75687e-07	0.0991824 1.92768e-06	-0.129563 2.89234e-06	0.00216194 3.68556e-09	0.00677097 3.08492e-08	-0.0121747 5.89494e-08	
