Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	1200.23	363	2.25443e-13 8.18388e-14	5.819e-11 2.48283e-11	3.36138e-12 2.94164e-12	-1.95496e-14 6.65821e-14	9.46116e-16 1.50732e-15	3.37646e-17 5.30998e-17	
15	639.876	267.5	1.36079e-11 7.20263e-12	2.28522e-08 1.49122e-09	-1.59416e-11 1.49885e-11	5.62208e-13 5.41703e-13	3.85962e-14 1.24401e-14	1.98218e-17 2.55535e-16	
25	432.835	191.5	5.88253e-11 3.86772e-11	1.4503e-07 7.2825e-09	2.31754e-11 2.3237e-11	1.76759e-12 8.35739e-13	1.83061e-14 1.49171e-14	-4.05556e-16 3.83613e-16	
35	281.254	132	1.95875e-10 8.65694e-11	2.88828e-07 1.58824e-08	-1.32348e-11 3.44709e-11	2.14415e-12 1.09952e-12	-1.23539e-15 1.70101e-14	1.71389e-15 1.80455e-15	
45	173.463	87	1.84352e-09 6.96062e-10	3.15406e-07 2.14408e-08	-7.25656e-11 3.62505e-11	8.88459e-13 1.69351e-12	3.92412e-14 2.59469e-14	4.65663e-16 5.62605e-16	
55	99.0991	54	1.15764e-09 5.61302e-10	2.91967e-07 2.38586e-08	-4.32185e-12 2.1999e-11	-4.15147e-12 1.22964e-12	-5.88166e-15 7.63704e-15	5.6178e-16 9.00609e-16	
65	52.2076	30.5	1.83741e-09 8.99374e-10	1.18751e-07 1.54549e-08	-2.36635e-11 6.29002e-12	-3.76251e-12 8.22674e-13	-5.65498e-15 2.36359e-15	3.09588e-16 2.84686e-16	
75	23.953	15.5	2.48249e-09 9.02666e-10	-2.76547e-08 4.31808e-09	-1.35501e-12 1.46537e-12	-1.54629e-12 3.71607e-13	-7.38678e-16 3.60291e-16	1.52717e-16 1.30731e-16	
85	8.64243	7	7.59218e-10 3.19227e-10	-7.94019e-09 1.25271e-09	-3.39955e-14 7.08315e-14	5.48488e-14 2.10556e-14	5.12572e-17 2.03243e-17	3.58102e-18 2.57269e-18	
95	2.09161	3	7.54235e-15 2.05008e-15	7.76935e-11 2.31803e-11	2.20315e-16 8.79701e-17	5.63963e-19 2.08505e-19	2.21496e-21 1.8148e-21	2.03794e-21 5.56253e-22	
