Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	1211.06	388.5	1.24336 0.00786181
7.5	779.431	335.5	1.77886 0.0329994
12.5	656.933	287.5	2.05907 0.0352778
17.5	543.237	245	2.31804 0.0363459
22.5	450.429	207	2.43774 0.0359942
27.5	366.534	173.5	2.65146 0.0398188
32.5	298.646	144	2.68795 0.0408736
37.5	237.734	118	2.75493 0.0429975
42.5	189.772	96	2.76933 0.0453958
47.5	151.02	77	2.81734 0.052461
52.5	120.94	60.5	2.88938 0.0687199
57.5	102.358	46.5	2.66749 0.109913
62.5	87.3123	34.5	3.25352 0.195774
67.5	77.2128	25	2.77255 0.245798
72.5	69.7108	18	3.31346 0.398233
77.5	59.9071	12.5	3.514 0.531423
82.5	51.6829	8	2.91001 0.424673
87.5	56.8247	5	3.81812 0.655648
92.5	47.8194	3	3.20874 0.812918
97.5	57.1467	2	3.99312 0.497462
