Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	885.42	388.5	0.636298 0.0147364	0.973873 0.000929258	0.967072 0.00131907	
7.5	713.966	335.5	0.565392 0.0161875	0.983462 0.000594727	0.961101 0.0017138	
12.5	585.542	287.5	0.554847 0.0159732	0.988375 0.000437025	0.954044 0.00229603	
17.5	479.277	245	0.489841 0.0194944	0.988938 0.000411264	0.950578 0.00219561	
22.5	391.294	207	0.510147 0.0172383	0.983213 0.00522644	0.927139 0.0101201	
27.5	316.098	173.5	0.459994 0.0173168	0.987918 0.000530453	0.91654 0.00453366	
32.5	254.327	144	0.446287 0.0186736	0.986884 0.000751876	0.915489 0.00544007	
37.5	201.449	118	0.423295 0.0194658	0.983569 0.0010936	0.900063 0.0060349	
42.5	157.426	96	0.405201 0.0182914	0.978231 0.00115289	0.887759 0.00634309	
47.5	120.643	77	0.419061 0.0188051	0.975135 0.00128309	0.873301 0.00630233	
52.5	90.4899	60.5	0.393259 0.0232215	0.966626 0.00168382	0.848682 0.00768929	
57.5	66.5408	46.5	0.38842 0.0264291	0.954334 0.00229172	0.805894 0.00931928	
62.5	47.6655	34.5	0.324114 0.0270518	0.936934 0.00324381	0.777763 0.0101467	
67.5	33.1509	25	0.0939458 0.046253	0.896321 0.00631743	0.669924 0.0168849	
72.5	21.552	18	0.122808 0.0353458	0.846171 0.00868843	0.61775 0.017896	
77.5	14.0873	12.5	0.345209 0.0252342	0.757362 0.0121221	0.48991 0.0236714	
82.5	8.49706	8	0.342184 0.025239	0.712212 0.0137823	0.438977 0.0248774	
87.5	4.81906	5	0.293509 0.0320374	0.641939 0.017662	0.412234 0.0254929	
92.5	2.38727	3	0.356468 0.0409797	0.602312 0.0255611	0.338678 0.0335072	
97.5	0.720932	2	0.240724 0.100756	0.414039 0.0628035	0.262329 0.0514601	
