Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	979.269	409	0.259579 4.78677e-05	0.263137 0.000158509	-0.222737 0.00862665	0.186828 0.000159262	0.18875 0.00246283	-0.0982239 0.114795	
1.5	918.579	397.5	0.254507 3.86036e-05	0.255091 0.000398996	-0.0292755 0.0362271	0.178762 0.000246393	0.176008 0.00634655	0.131335 0.25336	
2.5	880.474	387.5	0.248977 0.000128951	0.250599 0.000697972	-0.0682137 0.0412641	0.177594 3.9415e-05	0.174657 7.6344e-05	0.110569 0.000993356	
3.5	842.198	377	0.248597 1.84635e-06	0.251608 2.79455e-06	-0.100651 0.000274628	0.17839 7.02259e-05	0.176478 0.000172825	0.069252 0.00215511	
4.5	806.481	366.5	0.240513 5.62214e-05	0.238013 0.000280609	0.0694357 0.0138412	0.17556 1.17411e-05	0.176237 0.000180959	-0.0221377 0.0156189	
5.5	774.564	356	0.244102 4.2779e-05	0.237204 0.00027515	0.163601 0.0197346	0.177891 5.6623e-05	0.174796 0.00186802	0.0978401 0.0676146	
6.5	743.558	345.5	0.242255 0.000264232	0.237239 0.00480656	0.102042 0.0977082	0.174382 0.000213525	0.17285 0.000628131	0.0466053 0.00946512	
7.5	714.265	335	0.239751 2.28521e-05	0.236039 0.00383913	0.0686151 0.0700406	0.174566 0.000196529	0.168777 0.000101482	0.162987 0.0127636	
8.5	684.48	325	0.239807 0.000209358	0.233162 0.00403351	0.110726 0.0660713	0.170176 4.87969e-05	0.165469 0.00303315	0.123311 0.0795337	
9.5	658.155	315	0.235211 9.11514e-05	0.219539 0.00132776	0.262464 0.0323294	0.166671 5.63988e-05	0.171028 0.000145753	-0.0991136 0.00975133	
10.5	632.29	305.5	0.235654 1.83667e-06	0.223125 1.04184e-05	0.166554 0.000179545	0.163946 1.84654e-05	0.173219 1.61573e-05	-0.212478 0.000808553	
11.5	607.306	296	0.236065 3.07017e-05	0.226664 0.00345724	0.118996 0.0490931	0.168611 0.000294846	0.163055 0.00612134	0.132671 0.129544	
12.5	584.272	286.5	0.235173 0.000219706	0.220847 0.00810899	0.169348 0.078565	0.162466 0.000187416	0.156897 0.000494356	0.114885 0.00995586	
13.5	561.544	277.5	0.236351 5.05476e-05	0.222483 0.000301121	0.141848 0.00130736	0.164545 4.43342e-05	0.164723 0.000138314	-0.00415977 0.00238469	
14.5	539	269	0.236054 1.81813e-06	0.225478 0.000859603	0.10291 0.0160963	0.157951 3.99525e-05	0.164778 0.000129207	-0.118592 0.00161768	
15.5	517.963	260.5	0.23346 0.000198996	0.222233 0.00198121	0.108016 0.023632	0.163634 9.51404e-05	0.164918 0.00285991	-0.0238277 0.0479072	
16.5	498.106	252	0.232329 0.000174063	0.22131 0.0117056	0.101616 0.0855152	0.156743 4.16272e-05	0.165604 0.00351756	-0.150361 0.0558308	
17.5	478.395	244	0.23219 7.98906e-06	0.216405 0.000814765	0.123482 0.0112756	0.157474 9.27529e-05	0.153903 0.00026828	0.0621585 0.00498949	
18.5	459.619	236	0.230069 4.59065e-08	0.217271 2.66086e-06	0.0948837 1.39684e-05	0.153334 0.000154111	0.151334 0.00039565	0.0347863 0.00526845	
19.5	441.689	228.5	0.228421 0.000110977	0.211825 0.00089064	0.119153 0.01017	0.152336 1.76304e-06	0.149941 5.81698e-06	0.0383555 6.6274e-05	
20.5	423.89	221	0.228316 3.99322e-05	0.214714 0.00660722	0.0930581 0.0413682	0.146839 7.38378e-05	0.155476 0.000332497	-0.127937 0.00657606	
21.5	407.471	213.5	0.226745 6.07428e-05	0.20698 0.000419353	0.13037 0.00533931	0.144761 8.28696e-06	0.149049 3.34519e-05	-0.0536723 0.000638173	
22.5	390.824	206.5	0.229049 2.76047e-05	0.211403 0.00442616	0.107821 0.0273032	0.146232 1.29675e-06	0.151921 3.7495e-06	-0.0915956 4.12388e-05	
23.5	375.464	199.5	0.22812 8.26687e-05	0.205844 0.00210399	0.139241 0.0197237	0.144095 0.000313041	0.148635 0.00193548	-0.0515778 0.0267184	
24.5	359.203	192.5	0.229671 3.8734e-05	0.213825 0.00582351	0.0904307 0.0325301	0.14738 9.82893e-05	0.146594 0.000512411	0.0103552 0.00912011	
25.5	344.548	186	0.227804 1.63582e-06	0.208771 0.00215529	0.102928 0.0170821	0.137043 4.06921e-05	0.149826 1.99013e-05	-0.145171 0.00137126	
26.5	329.585	179.5	0.226666 3.84737e-05	0.203677 0.000155581	0.113313 0.00150169	0.135573 3.42815e-05	0.144454 7.79322e-05	-0.112615 0.00023927	
27.5	315.426	173	0.225351 0.000159762	0.197539 0.0128103	0.137873 0.0475317	0.134654 0.000134616	0.141678 0.00025458	-0.0754241 4.268e-05	
28.5	302.724	167	0.224401 6.36411e-05	0.200657 0.00278371	0.119604 0.0181912	0.130594 9.28653e-05	0.134764 0.000212348	-0.0515083 0.00108783	
29.5	289.75	161	0.224736 1.16809e-05	0.209079 0.000377964	0.0744645 0.00460987	0.130452 4.55939e-07	0.145596 0.000143494	-0.166699 0.00309408	
30.5	277.78	155	0.22009 5.68166e-05	0.196987 0.0074461	0.109051 0.0332999	0.135997 5.34954e-05	0.134762 0.000266976	0.0124351 0.00435657	
31.5	266.114	149	0.219989 6.50098e-05	0.196713 0.000636752	0.0982063 0.00521661	0.130839 1.47501e-05	0.126061 5.05554e-05	0.0493845 0.000398346	
32.5	253.691	143.5	0.220198 1.04733e-05	0.193559 0.00102842	0.108112 0.00786289	0.128688 0.000161157	0.127708 0.000404804	0.00901533 0.00145441	
33.5	242.462	138.5	0.221065 4.44336e-05	0.188726 0.0019198	0.131687 0.0118602	0.125556 1.30896e-05	0.131505 3.6105e-05	-0.0625403 2.79175e-05	
34.5	231.762	133	0.219866 0.000235195	0.194129 0.00381199	0.100653 0.0161578	0.126476 0.00014489	0.127822 0.000572015	-0.012027 0.00599072	
35.5	220.969	127.5	0.216615 6.13193e-05	0.195777 0.0235791	0.0818927 0.0590461	0.117481 3.30049e-05	0.12132 9.99292e-05	-0.0295871 0.000466988	
36.5	210.595	122.5	0.215416 5.20069e-05	0.186699 0.0120132	0.108817 0.0363974	0.122384 3.64186e-05	0.122109 0.000118482	0.00217074 0.00062473	
37.5	201.215	118	0.213593 3.0495e-05	0.187481 3.62205e-05	0.105207 0.00248433	0.118802 7.29675e-05	0.138033 0.000289568	-0.150076 0.0020804	
38.5	191.991	113.5	0.212339 0.000174519	0.186091 0.0128295	0.0970006 0.0356963	0.112738 5.74116e-05	0.122689 0.00179169	-0.0705825 0.0128108	
39.5	182.685	108.5	0.214238 6.98424e-05	0.183238 0.0144243	0.107736 0.0369056	0.118765 0.000109147	0.131355 0.000501446	-0.100208 0.00471686	
40.5	173.413	104	0.208161 9.25654e-06	0.177007 0.000138675	0.108459 9.43737e-05	0.108339 0.000103038	0.122974 0.000162217	-0.108114 0.00024173	
41.5	165.118	100	0.205953 5.33013e-05	0.177439 0.0011321	0.101159 0.0069048	0.115827 0.000246303	0.11636 0.000339287	-0.00354738 0.00573783	
42.5	157.229	96	0.207984 1.24897e-05	0.174721 0.000507855	0.109134 0.00411696	0.108026 0.000181742	0.118648 0.000192287	-0.06849 0.0012976	
43.5	149.261	92	0.203606 7.09722e-05	0.17333 0.0100605	0.0982796 0.0265739	0.107037 9.50178e-05	0.114191 0.00021009	-0.039317 0.000161576	
44.5	141.353	88	0.205993 1.1682e-05	0.168543 0.00075347	0.112744 0.00509371	0.100939 8.82541e-06	0.111165 0.000125612	-0.0634057 0.00139038	
45.5	134.066	84	0.206428 1.49987e-05	0.168558 1.1382e-05	0.115966 0.000696656	0.107503 1.97155e-05	0.109858 7.89522e-06	-0.0133823 0.000868055	
46.5	126.923	80	0.201204 1.05834e-05	0.16743 0.000188734	0.102722 0.00215228	0.099478 4.60588e-05	0.104656 0.000175217	-0.0308883 0.000993791	
47.5	120.195	76.5	0.198665 0.000285676	0.160277 0.00231885	0.11631 0.00892578	0.100877 6.0526e-06	0.12282 2.0273e-05	-0.123211 0.000159739	
48.5	113.785	73	0.196931 0.000128591	0.157399 0.000956668	0.114885 0.00444363	0.0972936 6.58019e-05	0.112992 0.000199421	-0.0843923 0.000708009	
49.5	107.722	69.5	0.198105 0.000102486	0.162083 0.000802425	0.105891 0.00548685	0.0955438 7.54915e-05	0.102376 1.19411e-05	-0.0361619 0.00122835	
50.5	101.552	66.5	0.197923 0.0001797	0.16608 0.00628653	0.0887819 0.0171006	0.0942481 2.79814e-05	0.101101 8.66974e-05	-0.0362854 0.000309497	
51.5	96.4137	63	0.191247 9.8908e-05	0.15507 0.000786429	0.0964761 0.00364816	0.0916687 0.000180551	0.104428 0.000925015	-0.0639182 0.00510215	
52.5	90.5873	59.5	0.190047 0.000152878	0.160499 0.0258411	0.0771639 0.042341	0.0878584 1.53666e-05	0.100984 7.36026e-06	-0.0656759 0.000141664	
53.5	85.2983	56.5	0.18628 7.7086e-05	0.146784 0.000721906	0.100428 0.00434015	0.0821556 4.29567e-05	0.0963804 0.00373655	-0.0624805 0.0122393	
54.5	80.3151	54	0.184155 3.28746e-05	0.153443 0.00828147	0.0813526 0.0187424	0.0868924 0.000195958	0.0960598 0.000663035	-0.0454146 0.00306409	
55.5	75.4403	51.5	0.183335 0.000295561	0.149405 0.0205776	0.0844873 0.0364266	0.080481 7.25323e-05	0.0954349 0.000197337	-0.0728882 0.000468816	
56.5	70.8807	48.5	0.18351 0.000158612	0.137845 0.0113691	0.101841 0.0210113	0.0787861 0.000192367	0.0941754 0.000843004	-0.0716077 0.00393576	
57.5	66.5108	46	0.176158 2.40321e-05	0.133629 0.000334699	0.102136 0.000293951	0.071016 3.44367e-05	0.0881406 0.000179174	-0.0794955 0.00169898	
58.5	62.3745	43.5	0.172811 0.00013205	0.134355 0.00134153	0.0912752 0.00552608	0.073064 1.2564e-05	0.0895183 4.20865e-05	-0.0640335 0.00011949	
59.5	58.2482	41	0.17815 0.000161872	0.147779 0.0179266	0.0714738 0.0303472	0.0739698 9.05539e-05	0.092065 0.000226522	-0.0781187 0.000539204	
60.5	54.6917	39	0.17298 7.09348e-05	0.142389 0.00503611	0.0685328 0.0115699	0.0715964 1.70753e-05	0.0919441 1.39266e-06	-0.0857655 0.000157829	
61.5	50.9261	36.5	0.167817 1.79726e-05	0.123408 0.00271348	0.0990863 0.00755743	0.0680525 6.06016e-05	0.081978 0.00143583	-0.0548447 0.00563786	
62.5	47.5136	34	0.169022 0.000103424	0.145756 0.0012217	0.0518772 0.00423151	0.0692359 0.000118858	0.0866101 0.0020565	-0.0664107 0.00736094	
63.5	44.2994	32	0.164969 9.95931e-06	0.1248 0.00723636	0.086552 0.0138758	0.0643435 9.29955e-05	0.0799182 7.86721e-05	-0.0629057 0.000524006	
64.5	41.3337	30	0.156536 5.50951e-06	0.106786 9.11469e-05	0.111127 0.000567237	0.0571795 7.70251e-05	0.0750153 0.000172779	-0.066626 0.0014622	
65.5	38.5048	28.5	0.157884 6.53672e-05	0.135644 0.000503998	0.0457436 0.00111489	0.0582103 0.000312297	0.0611537 0.00104248	-0.0118457 0.00346611	
66.5	35.738	27	0.150469 7.41552e-06	0.127299 0.000380787	0.0487773 0.00209768	0.0519182 0.000422966	0.0713578 0.00374928	-0.064582 0.0104257	
67.5	32.9931	25	0.147647 1.97537e-05	0.133912 0.0017303	0.0278222 0.00512506	0.0561501 1.10803e-05	0.0711918 5.81405e-05	-0.0530605 0.000161513	
68.5	30.5698	23.5	0.142357 3.04484e-05	0.155662 0.00292347	-0.0269361 0.00699274	0.0451056 4.50501e-05	0.0760225 0.000579964	-0.117261 0.00246331	
69.5	28.3138	22	0.129984 0.000201812	0.138216 0.00363258	-0.0162505 0.00806157	0.0385429 7.21117e-05	0.0755687 5.26193e-05	-0.125279 3.83311e-05	
70.5	26.0575	20.5	0.140179 0.000103311	0.133135 0.00959666	0.0139995 0.0162112	0.0386236 6.24128e-05	0.0721506 0.000390194	-0.112333 0.00116467	
71.5	24.0488	19	0.138496 0.00036207	0.133331 0.00272823	0.0102226 0.00729526	0.0448602 0.000178015	0.0810639 0.000398059	-0.125734 0.000765022	
72.5	22.0539	17.5	0.127891 0.000477045	0.14586 0.00361055	-0.0365323 0.00741268	0.0419842 1.68126e-05	0.0700445 0.000176775	-0.0962615 0.000612655	
73.5	20.2334	16.5	0.12393 0.000919211	0.150089 0.00522128	-0.0509067 0.00767407	0.0394553 0.000502824	0.0721817 0.00149169	-0.105125 0.00249378	
74.5	18.5239	15.5	0.115645 4.87581e-05	0.165499 0.00219031	-0.0952396 0.00485878	0.0301425 4.9531e-05	0.0710177 3.37835e-05	-0.126013 2.22095e-05	
75.5	16.9452	14.5	0.117717 8.39241e-05	0.182335 0.00114425	-0.121782 0.00251001	0.0313218 5.64084e-05	0.0567002 2.34653e-05	-0.0861774 0.000339088	
76.5	15.5021	13	0.101048 0.000517451	0.162647 0.0112341	-0.121224 0.0176259	0.030746 4.62164e-06	0.0717413 4.71071e-06	-0.12719 1.07481e-05	
77.5	14.0899	12	0.101055 0.000210783	0.154684 0.000745724	-0.0970148 0.00263786	0.0242514 0.000144784	0.0556266 0.000112384	-0.101241 0.000187745	
78.5	12.8504	11.5	0.0899284 0.000356861	0.16655 0.000931658	-0.143332 0.00300626	0.0254118 1.00368e-05	0.0608209 2.29023e-05	-0.101609 4.98026e-05	
79.5	11.6198	10.5	0.0919943 0.000335933	0.166217 0.000416152	-0.132666 0.000497261	0.0217324 0.000127238	0.0602888 0.000261041	-0.115635 0.000491856	
80.5	10.4614	9.5	0.0894246 0.000196563	0.177586 0.000273086	-0.167444 0.000158928	0.0246189 3.72643e-05	0.0651645 4.04039e-05	-0.122689 7.63204e-05	
81.5	9.4889	8.5	0.0845101 0.000260538	0.182069 0.000214177	-0.177724 0.000471589	0.0197466 6.69658e-05	0.0567207 0.000177952	-0.102361 0.000357738	
82.5	8.51833	8	0.0794899 2.55206e-05	0.170735 7.27097e-06	-0.17234 2.62658e-05	0.0165475 2.73201e-06	0.0539054 8.04133e-06	-0.11286 1.87826e-05	
83.5	7.61914	7.5	0.0775339 0.000511943	0.187969 0.00151688	-0.194438 0.0039327	0.0143273 4.97281e-06	0.0483953 1.61059e-05	-0.0897926 3.21661e-05	
84.5	6.84771	6.5	0.0877115 0.000581418	0.168435 0.00352527	-0.151298 0.00723901	0.0208345 9.74951e-06	0.0507244 1.97939e-05	-0.0835517 3.95578e-05	
85.5	6.13054	6	0.0751091 6.79734e-05	0.176667 9.39553e-05	-0.187183 0.000237446	0.0200923 7.03286e-06	0.0504468 1.84519e-06	-0.087388 5.09721e-06	
86.5	5.44348	5.5	0.0642078 0.00065129	0.181494 0.00713986	-0.212969 0.0091262	0.0155475 0.000118044	0.0468965 0.00064623	-0.0812276 0.00125043	
87.5	4.80346	5	0.0777555 6.06439e-10	0.193067 1.10432e-08	-0.221721 1.74522e-08	0.0156924 1.36703e-10	0.046102 5.038e-10	-0.0887703 1.078e-09	
88.5	4.23062	4.5	0.0667084 0.00075287	0.180046 0.00110793	-0.206728 0.000293223	0.0122212 4.52285e-05	0.0366765 0.000134057	-0.0628686 0.000257267	
89.5	3.69405	4	0.0490029 0.000219201	0.157552 0.00406656	-0.203242 0.00617924	0.00967215 1.89591e-05	0.0324874 0.000139017	-0.0566468 0.000265464	
90.5	3.23133	4	0.071466 0.000547391	0.175919 0.00259104	-0.221426 0.00456154	0.0132897 0.000302352	0.0424694 0.00256476	-0.0807503 0.00519015	
91.5	2.76408	3.5	0.0595974 0.000120696	0.166906 2.66904e-05	-0.20793 0.000102596	0.00752978 5.31894e-05	0.029241 0.000152982	-0.055822 0.000293887	
92.5	2.36036	3	0.0565879 0.000264613	0.149632 0.000330983	-0.179866 0.00034706	0.00999623 7.86256e-05	0.0274433 0.000213725	-0.0570615 0.000492326	
93.5	1.96645	2.5	0.042031 0.00019688	0.140584 0.000199492	-0.186227 0.000237851	0.00446125 3.67773e-05	0.0172372 0.000127897	-0.0289581 0.000221691	
94.5	1.62238	2	0.039554 5.07381e-10	0.152767 2.99846e-08	-0.212026 4.7195e-08	0.00462721 5.92019e-10	0.0153369 2.28458e-09	-0.03006 4.75677e-09	
95.5	1.3021	2	0.0333145 1.46134e-08	0.133186 2.50769e-07	-0.178098 3.67088e-07	0.00285776 1.639e-10	0.0130106 8.17577e-10	-0.0219301 1.40612e-09	
