Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	785.866	363	0.24191 7.14598e-06	0.240315 2.47243e-05	0.0338259 0.000755672	0.174501 4.23002e-06	0.175129 9.34487e-06	-0.0190499 2.72781e-05	
15	526.581	267.5	0.232882 1.65675e-05	0.223379 0.00014354	0.0853253 0.00175439	0.159322 2.52941e-07	0.161096 8.00495e-07	-0.0328688 1.01213e-05	
25	350.111	191.5	0.227237 3.59071e-07	0.209159 0.000187811	0.0983007 0.00149135	0.13974 3.84789e-06	0.147034 2.09423e-06	-0.0892832 0.00015694	
35	226.039	132	0.216948 2.48749e-05	0.192093 0.000506921	0.0982273 0.00217771	0.122128 1.49317e-05	0.129481 5.33032e-05	-0.0614438 0.000488224	
45	139.076	87	0.203401 2.00039e-05	0.169975 0.000135973	0.104499 0.000633164	0.103695 9.19102e-06	0.113639 2.90451e-05	-0.0583345 0.000111383	
55	77.822	54	0.18304 2.94351e-05	0.147435 0.00227449	0.0878907 0.00421116	0.0808516 3.52368e-05	0.0959545 0.000131859	-0.0705578 0.000583755	
65	40.2494	30.5	0.156838 1.30915e-05	0.129105 8.10465e-05	0.0592066 0.000184707	0.0573318 5.49856e-05	0.078702 0.000186548	-0.0777108 0.000565728	
75	18.0826	15.5	0.11693 0.000202553	0.163001 0.00113877	-0.0889451 0.00167568	0.0341254 0.000114896	0.0692642 0.000302564	-0.115397 0.000475355	
85	6.68182	7	0.0775646 0.000153458	0.180607 0.000417571	-0.187313 0.00110673	0.0183758 1.39495e-06	0.050622 4.27864e-06	-0.0889073 8.75462e-06	
95	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
