Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	885.42	388.5	1.44835 0.0259618
7.5	713.966	335.5	1.82011 0.031618
12.5	585.542	287.5	2.24196 0.0382683
17.5	479.277	245	2.43741 0.0393903
22.5	391.294	207	2.62078 0.0436168
27.5	316.098	173.5	2.91934 0.0476195
32.5	254.327	144	2.91329 0.0493965
37.5	201.449	118	2.91064 0.0482377
42.5	157.426	96	2.88061 0.0491157
47.5	120.643	77	2.92949 0.0475835
52.5	90.4899	60.5	3.04205 0.0498742
57.5	66.5408	46.5	3.20697 0.0558532
62.5	47.6655	34.5	3.19658 0.055903
67.5	33.1509	25	3.42059 0.0633723
72.5	21.552	18	3.62457 0.0688076
77.5	14.0873	12.5	3.69256 0.0812922
82.5	8.49706	8	4.13747 0.0957255
87.5	4.81906	5	4.7911 0.14567
92.5	2.38727	3	6.9095 0.308669
97.5	0.720932	2	14.0692 2.00754
