Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	785.866	363	0.00631653 8.49111e-05	 0.0384397 0.000360706	 0.0227706 0.000226687	 0.0133295 0.00012121	 0.0065205 5.8946e-05	 0.00351797 3.40696e-05	 
15	526.581	267.5	0.00846312 0.000135427	 0.0652548 0.000459028	 0.0276802 0.000262025	 0.0156662 0.000146187	 0.00781081 7.31055e-05	 0.00428294 4.19607e-05	 
25	350.111	191.5	0.0103238 0.000163838	 0.0854645 0.000544167	 0.0306538 0.000291572	 0.0179841 0.000167585	 0.00909419 8.60849e-05	 0.0052481 5.23063e-05	 
35	226.039	132	0.0126917 0.000345752	 0.0973826 0.00063379	 0.0334939 0.000330622	 0.0195665 0.000192328	 0.010083 0.000105189	 0.00576877 9.66089e-05	 
45	139.076	87	0.0128396 0.000230055	 0.103089 0.000753181	 0.0355823 0.00036225	 0.020295 0.000218062	 0.0108919 0.000116942	 0.00591384 6.68247e-05	 
55	77.822	54	0.0134389 0.000305162	 0.10713 0.000894895	 0.0342994 0.000363786	 0.0212589 0.000262291	 0.0104599 0.00012115	 0.0059675 7.67759e-05	 
65	40.2494	30.5	0.0173724 0.000970142	 0.103027 0.00102907	 0.0316734 0.000367432	 0.0203323 0.000299637	 0.00943493 0.000124998	 0.00529586 8.97079e-05	 
75	18.0826	15.5	0.0238993 0.00110882	 0.0911143 0.00106416	 0.0250227 0.000354881	 0.017593 0.000282732	 0.00740345 0.000111492	 0.00404989 7.67711e-05	 
85	6.68182	7	0.0168982 0.00092841	 0.0610399 0.00119485	 0.0137599 0.000272728	 0.00937952 0.000240009	 0.00358317 7.797e-05	 0.00159026 4.41855e-05	 
95	nan	3	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
