Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	885.42	388.5	0.00565888 9.08471e-05	 0.0298046 0.000373941	 0.0205784 0.000276881	 0.01223 0.000154613	 0.00606991 7.45736e-05	 0.00326613 4.08934e-05	 
7.5	713.966	335.5	0.00679271 0.000126517	 0.0441759 0.000492764	 0.024271 0.000321557	 0.0141856 0.000169344	 0.00686819 8.30043e-05	 0.00371159 4.92117e-05	 
12.5	585.542	287.5	0.00761777 0.000144557	 0.0591789 0.000587293	 0.026396 0.000351901	 0.015208 0.000197279	 0.00744494 9.54979e-05	 0.0040216 5.47417e-05	 
17.5	479.277	245	0.00908852 0.000205609	 0.0697869 0.000641162	 0.0286316 0.000365891	 0.0160653 0.000206402	 0.00810716 0.000103635	 0.00450075 5.93682e-05	 
22.5	391.294	207	0.00997467 0.000250298	 0.0804517 0.000724864	 0.0306976 0.000454992	 0.0175643 0.000367925	 0.009371 0.000523629	 0.0050692 0.000102773	 
27.5	316.098	173.5	0.0107547 0.000231284	 0.0893249 0.00076667	 0.0305976 0.000390141	 0.0185368 0.000237222	 0.00927985 0.000117494	 0.00546521 7.55289e-05	 
32.5	254.327	144	0.0116543 0.000236494	 0.0962397 0.000839998	 0.0330347 0.000437956	 0.0193688 0.000267898	 0.0102503 0.000311986	 0.0061998 0.000575482	 
37.5	201.449	118	0.0129841 0.000348558	 0.0989695 0.000837583	 0.0340026 0.000434036	 0.0197924 0.000253016	 0.0101507 0.000143174	 0.00588963 0.000147897	 
42.5	157.426	96	0.0125217 0.000267295	 0.101351 0.000915493	 0.0351838 0.000449494	 0.0200472 0.000265058	 0.0107381 0.000145624	 0.00592054 8.33268e-05	 
47.5	120.643	77	0.0128303 0.000285537	 0.104516 0.000926982	 0.0356773 0.000434826	 0.0205891 0.000268588	 0.0110584 0.000144871	 0.00590471 8.14488e-05	 
52.5	90.4899	60.5	0.0131898 0.000327622	 0.106331 0.000983623	 0.0349536 0.000414323	 0.0208151 0.000289466	 0.0107456 0.000142398	 0.00593694 8.30174e-05	 
57.5	66.5408	46.5	0.0131233 0.000375893	 0.107602 0.00104564	 0.0335526 0.00041606	 0.0211715 0.000302032	 0.0102563 0.000140039	 0.0058802 9.24897e-05	 
62.5	47.6655	34.5	0.0139455 0.000484265	 0.10536 0.0010999	 0.0329604 0.000388714	 0.0207074 0.000312567	 0.00995522 0.000140914	 0.00541318 9.30631e-05	 
67.5	33.1509	25	0.0172346 0.001005	 0.101727 0.00105698	 0.0297395 0.000394603	 0.0201272 0.00029817	 0.00900369 0.000131508	 0.00522517 8.87122e-05	 
72.5	21.552	18	0.0205087 0.00100515	 0.0965493 0.00107276	 0.0266375 0.000364988	 0.018724 0.000299084	 0.00793479 0.000118271	 0.00452269 8.40454e-05	 
77.5	14.0873	12.5	0.0235504 0.00113555	 0.0838826 0.00115583	 0.0227167 0.000378153	 0.0155454 0.00027832	 0.00656376 0.000113848	 0.00335891 6.96128e-05	 
82.5	8.49706	8	0.0185187 0.0010069	 0.0683203 0.00114696	 0.0165126 0.000304802	 0.0114594 0.000247773	 0.00446438 8.87112e-05	 0.00211517 5.25147e-05	 
87.5	4.81906	5	0.0126127 0.000799504	 0.0494524 0.00125532	 0.0103217 0.00027011	 0.00695283 0.000223806	 0.00243129 6.6536e-05	 0.00102451 3.10156e-05	 
92.5	2.38727	3	0.0085288 0.00050941	 0.0300576 0.001147	 0.00435018 0.000192799	 0.00303846 0.000133587	 0.00083197 3.55281e-05	 0.00050473 2.26938e-05	 
97.5	0.720932	2	0.000348793 4.75725e-05	 0.00794286 0.00110457	 0.000564555 7.51375e-05	 9.75087e-05 1.90451e-05	 7.24031e-05 1.09092e-05	 5.34209e-05 1.21104e-05	 
