Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
0.5	979.269	409	-9.37632e-11 9.36055e-11	4.28317e-08 3.06561e-08	-1.22899e-09 1.25984e-08	6.43976e-11 1.27756e-09	1.33615e-10 1.06875e-10	-8.37321e-12 1.42625e-11	
1.5	918.579	397.5	-3.77661e-10 1.91391e-10	2.84002e-08 7.41143e-08	-1.21266e-08 1.26424e-08	6.3318e-10 1.96243e-09	1.32676e-10 1.17468e-10	1.43126e-11 6.97694e-12	
2.5	880.474	387.5	5.49466e-11 8.77787e-11	1.57445e-07 5.6998e-08	-2.91744e-08 3.05314e-08	1.64169e-09 1.92384e-09	1.06538e-10 1.12946e-10	2.27168e-11 8.09561e-12	
3.5	842.198	377	-1.43397e-09 9.41911e-10	1.36315e-07 9.74536e-08	-1.29887e-08 3.77348e-08	-1.23745e-09 2.4887e-09	1.75882e-10 1.11538e-10	-9.95952e-12 1.30406e-11	
4.5	806.481	366.5	-9.46231e-10 3.79075e-10	3.1023e-07 1.36687e-07	9.31955e-09 2.40202e-08	3.7478e-09 2.48357e-09	1.04715e-10 1.51824e-10	1.73353e-11 1.44136e-11	
5.5	774.564	356	-2.37552e-09 1.23778e-09	1.8599e-07 1.58458e-07	1.45246e-09 2.47239e-08	4.07097e-09 2.42945e-09	5.19376e-10 1.83778e-10	2.06313e-12 1.7334e-11	
6.5	743.558	345.5	-9.76391e-10 4.10923e-10	8.64552e-07 2.97359e-07	4.00963e-09 3.54219e-08	3.47272e-09 3.19657e-09	4.38533e-10 1.64778e-10	7.69265e-12 1.93566e-11	
7.5	714.265	335	-3.66256e-09 1.92432e-09	1.24072e-06 3.07255e-07	-2.44618e-08 5.63209e-08	1.00115e-08 3.57547e-09	1.14303e-10 2.02106e-10	-1.34439e-11 3.19587e-11	
8.5	684.48	325	-8.04686e-10 4.76149e-10	1.33349e-06 3.70197e-07	-9.06186e-09 3.31866e-08	1.10538e-08 3.88922e-09	5.11173e-10 2.06518e-10	1.06317e-11 1.52937e-11	
9.5	658.155	315	-3.06072e-09 1.45525e-09	2.4373e-06 3.72935e-07	-2.76587e-08 5.62699e-08	5.96287e-09 3.49759e-09	1.81451e-11 1.82179e-10	-2.9793e-11 2.93726e-11	
10.5	632.29	305.5	-1.30373e-09 6.44514e-10	3.28134e-06 6.04251e-07	9.73844e-08 3.70184e-08	-5.14364e-09 7.348e-09	3.68935e-10 2.34603e-10	3.53957e-11 2.10458e-11	
11.5	607.306	296	-1.20637e-09 5.85378e-10	4.44719e-06 6.78259e-07	4.1833e-08 4.27787e-08	3.33413e-10 4.45632e-09	8.30467e-10 2.45887e-10	-4.56598e-11 4.73679e-11	
12.5	584.272	286.5	-1.26688e-09 5.07841e-10	5.79536e-06 7.97366e-07	-1.117e-07 7.79148e-08	1.24554e-08 4.92602e-09	3.54401e-11 3.47427e-10	2.93753e-12 2.64696e-11	
13.5	561.544	277.5	-4.92223e-09 2.01885e-09	7.87105e-06 1.15745e-06	5.02769e-08 4.00032e-08	9.60524e-09 4.26148e-09	2.36472e-11 3.11551e-10	-1.88911e-11 3.54709e-11	
14.5	539	269	-7.53107e-09 3.55615e-09	1.01119e-05 1.25292e-06	3.44342e-08 5.36134e-08	7.46381e-09 5.92638e-09	4.55242e-10 3.36128e-10	3.18973e-11 2.37891e-11	
15.5	517.963	260.5	-9.72114e-09 3.46454e-09	9.08163e-06 1.11484e-06	3.01963e-08 7.63085e-08	7.85071e-09 5.13254e-09	-5.09786e-11 4.40746e-10	2.70033e-11 3.26158e-11	
16.5	498.106	252	-8.8288e-09 4.64038e-09	1.03191e-05 1.2758e-06	1.4391e-07 5.57172e-08	8.40821e-09 5.83925e-09	6.0664e-10 3.12226e-10	1.13343e-11 3.24199e-11	
17.5	478.395	244	-9.53494e-09 3.47275e-09	1.21532e-05 1.5979e-06	-8.08188e-09 6.08731e-08	-2.78412e-09 9.67191e-09	-3.81634e-10 7.21961e-10	-3.96722e-11 4.51263e-11	
18.5	459.619	236	-4.02416e-09 1.43355e-09	1.66234e-05 1.7988e-06	-6.6189e-08 7.92268e-08	-8.05899e-09 1.16684e-08	6.85413e-10 3.78442e-10	-4.05896e-11 5.78193e-11	
19.5	441.689	228.5	-3.59261e-08 2.16639e-08	1.44057e-05 1.94667e-06	8.35886e-08 7.57723e-08	9.46494e-09 4.92514e-09	3.42162e-10 4.74e-10	2.23153e-11 4.56806e-11	
20.5	423.89	221	-5.03635e-09 1.99176e-09	1.4262e-05 2.02555e-06	5.78929e-08 6.60659e-08	1.25756e-08 5.01849e-09	1.26496e-09 3.91056e-10	1.09081e-11 7.9227e-11	
21.5	407.471	213.5	-7.38236e-08 5.90125e-08	1.75488e-05 7.27408e-06	-1.36797e-06 1.25831e-06	-7.8083e-07 7.86804e-07	-6.34568e-07 6.34079e-07	-4.57908e-09 4.6067e-09	
22.5	390.824	206.5	-1.21673e-08 7.01574e-09	2.53344e-05 2.8942e-06	9.05682e-08 5.46749e-08	6.32598e-09 1.04491e-08	-1.09692e-09 8.98413e-10	-7.96455e-11 1.16483e-10	
23.5	375.464	199.5	-1.04137e-08 3.84898e-09	2.39376e-05 2.83163e-06	-1.48858e-08 1.16803e-07	1.27123e-08 8.31406e-09	8.74917e-10 6.50331e-10	5.08606e-12 7.73325e-11	
24.5	359.203	192.5	-2.9289e-08 1.30178e-08	3.11158e-05 3.18638e-06	2.51505e-08 9.38721e-08	1.37587e-08 9.22657e-09	-3.53016e-10 8.0725e-10	4.80633e-11 6.48893e-11	
25.5	344.548	186	-7.41077e-09 2.75993e-09	2.88282e-05 3.7159e-06	-6.0651e-09 8.60345e-08	2.14112e-08 9.25063e-09	8.96939e-10 6.74135e-10	-7.81506e-11 1.17287e-10	
26.5	329.585	179.5	-2.26056e-08 9.62702e-09	3.52101e-05 4.46634e-06	1.21701e-07 7.2931e-08	-1.12221e-08 1.76022e-08	8.5598e-10 5.83494e-10	-1.47078e-10 1.15882e-10	
27.5	315.426	173	-1.14517e-08 3.22988e-09	3.28269e-05 4.22243e-06	1.12721e-08 1.12811e-07	1.85197e-08 9.62105e-09	3.24775e-10 8.34607e-10	1.27363e-10 8.36516e-11	
28.5	302.724	167	-4.3065e-08 1.49263e-08	3.98479e-05 4.0733e-06	-1.24054e-09 1.04097e-07	-3.4838e-09 1.36964e-08	-1.14871e-10 6.69501e-10	-3.27587e-10 1.99958e-10	
29.5	289.75	161	-2.38311e-08 8.59996e-09	4.72325e-05 4.48544e-06	1.6581e-07 8.32317e-08	1.14365e-08 1.31184e-08	1.03869e-09 7.22687e-10	-1.16841e-11 9.22056e-11	
30.5	277.78	155	-1.77407e-08 6.11671e-09	3.97858e-05 4.53872e-06	-1.67939e-07 1.42707e-07	-2.32904e-08 4.24299e-08	-2.28629e-07 2.28017e-07	-3.18257e-07 3.18154e-07	
31.5	266.114	149	-2.12546e-08 7.78139e-09	5.8623e-05 5.57366e-06	-6.27214e-08 9.77694e-08	-1.57138e-09 1.5711e-08	-4.61337e-12 7.71217e-10	-1.42189e-10 1.5837e-10	
32.5	253.691	143.5	-4.38794e-08 1.21275e-08	5.35536e-05 6.05053e-06	-4.49986e-08 2.8785e-07	-1.76465e-08 1.74569e-08	2.43103e-09 8.41104e-10	-7.36026e-12 1.38112e-10	
33.5	242.462	138.5	-2.11621e-08 7.6099e-09	5.37511e-05 6.05491e-06	2.24041e-07 8.64677e-08	1.24734e-08 1.30751e-08	-1.1846e-09 1.23873e-09	-6.09589e-11 1.85481e-10	
34.5	231.762	133	-1.50974e-08 5.55237e-09	4.27922e-05 5.94132e-06	1.71232e-07 9.77731e-08	-1.75061e-08 1.63165e-08	1.62782e-09 7.79143e-10	-3.90581e-10 2.14546e-10	
35.5	220.969	127.5	-3.90973e-08 1.20483e-08	5.20979e-05 5.90472e-06	-9.01148e-08 1.82458e-07	1.21435e-08 1.34094e-08	1.95388e-09 7.34774e-10	-3.13924e-11 7.69577e-11	
36.5	210.595	122.5	-3.23654e-08 1.08084e-08	5.54837e-05 6.17947e-06	-6.93583e-08 1.28335e-07	-5.98064e-09 1.57514e-08	6.45907e-10 8.84013e-10	-2.4566e-10 1.82309e-10	
37.5	201.215	118	-2.0108e-08 7.28091e-09	4.76562e-05 5.24579e-06	4.87882e-08 1.60094e-07	2.5208e-08 1.13124e-08	3.81005e-10 9.41721e-10	4.50618e-11 1.61215e-10	
38.5	191.991	113.5	-1.22602e-07 6.34347e-08	5.36009e-05 6.32433e-06	7.78251e-08 1.32683e-07	1.71202e-08 1.93751e-08	-1.43947e-08 1.30699e-08	-1.54171e-08 1.53626e-08	
