Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	785.866	363	-1.58799e-09 3.32853e-10	5.62185e-08 7.57637e-08	-2.59302e-08 1.22662e-08	2.68522e-09 9.18369e-10	1.73108e-10 5.3108e-11	-5.76192e-12 6.61788e-12	
15	526.581	267.5	-9.11523e-09 2.49434e-09	8.38276e-06 4.08356e-07	1.55404e-08 2.02738e-08	3.25338e-09 2.27711e-09	1.79845e-10 1.38026e-10	-1.43797e-11 1.31814e-11	
25	350.111	191.5	-1.96645e-08 3.03614e-09	2.98648e-05 1.15828e-06	1.57407e-08 3.26315e-08	5.99503e-09 3.82738e-09	1.86413e-10 2.39096e-10	-5.93849e-11 3.69006e-11	
35	226.039	132	-1.65019e-07 1.03723e-07	5.16773e-05 1.98672e-06	2.73305e-08 5.21332e-08	4.38518e-09 5.00877e-09	-9.52322e-10 1.54951e-09	-1.98676e-09 1.82257e-09	
45	139.076	87	-5.3068e-08 7.27735e-09	5.74114e-05 2.76641e-06	7.30465e-08 5.34173e-08	-1.06819e-08 8.90347e-09	-8.63793e-10 6.72452e-10	-2.14715e-10 6.90403e-11	
55	77.822	54	-9.76357e-08 1.93668e-08	6.03324e-05 3.60451e-06	1.75099e-07 5.18455e-08	-3.7133e-08 9.84248e-09	-4.97241e-10 4.99505e-10	-3.61183e-10 9.17702e-11	
65	40.2494	30.5	-1.73945e-06 5.57751e-07	3.90865e-05 3.52358e-06	1.19925e-07 3.5049e-08	-7.19074e-08 1.37608e-08	-1.17698e-09 4.10559e-10	-6.8912e-10 1.21966e-10	
75	18.0826	15.5	-3.66175e-06 5.57899e-07	1.52015e-05 2.49354e-06	-5.8369e-08 2.20383e-08	-4.54829e-08 8.80452e-09	-8.86702e-10 2.21622e-10	-2.82465e-10 5.61208e-11	
85	6.68182	7	-9.99767e-07 1.73802e-07	-9.66791e-06 9.672e-07	-2.64928e-08 3.27241e-09	-1.46744e-08 1.50509e-09	-1.80582e-10 1.95883e-11	-1.54147e-11 2.54689e-12	
95	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
