Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	785.866	363	0.400581 0.128579	-0.557285 0.0680267	0.540048 0.0449976	
15	526.581	267.5	0.824582 0.00740175	0.403364 0.125339	0.482082 0.0814748	
25	350.111	191.5	0.864976 0.00524893	0.365402 0.175723	0.489282 0.0762073	
35	226.039	132	0.87065 0.0046324	0.38388 0.165453	0.415895 0.114848	
45	139.076	87	0.844381 0.00649541	0.462026 0.0825758	-0.500927 0.122633	
55	77.822	54	0.822675 0.00778924	0.596396 0.0420902	-0.652978 0.0437926	
65	40.2494	30.5	0.767456 0.0131659	0.587534 0.0401778	-0.80539 0.0362983	
75	18.0826	15.5	0.685306 0.0239039	-0.62117 0.0610778	-0.830083 0.0394934	
85	6.68182	7	-0.913523 0.0262004	-0.927185 0.0296806	-1.17344 0.0244052	
95	nan	3	nan nan	nan nan	nan nan	
