Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	885.42	388.5	0.466411 0.114689	-0.555844 0.103777	0.425163 0.129548	
7.5	713.966	335.5	0.717291 0.0221263	-0.438517 0.202091	0.630357 0.0346109	
12.5	585.542	287.5	0.825851 0.00930003	0.433228 0.14049	0.542315 0.0673886	
17.5	479.277	245	0.843623 0.00821022	0.461992 0.109911	0.433768 0.155893	
22.5	391.294	207	0.85022 0.0166534	-0.733603 0.454362	-1.11607 0.551701	
27.5	316.098	173.5	0.870753 0.00673793	0.499433 0.091058	0.485098 0.106262	
32.5	254.327	144	0.870336 0.00638014	0.361854 0.24699	-0.513682 0.191724	
37.5	201.449	118	0.870225 0.00598052	0.416753 0.154923	0.40654 0.162733	
42.5	157.426	96	0.841904 0.00855774	0.265571 0.517458	-0.505902 0.225082	
47.5	120.643	77	0.851199 0.00706487	0.566892 0.0511315	-0.406122 0.207936	
52.5	90.4899	60.5	0.836842 0.00762004	0.635897 0.0312179	-0.623317 0.0593788	
57.5	66.5408	46.5	0.819618 0.00939657	0.571721 0.0608426	-0.653072 0.0532145	
62.5	47.6655	34.5	0.774508 0.0132624	0.654147 0.0297779	-0.76216 0.0437908	
67.5	33.1509	25	0.78914 0.0114368	0.211272 1.11104	-0.702733 0.036473	
72.5	21.552	18	0.739773 0.0172139	-0.50455 0.143228	-0.817558 0.0375991	
77.5	14.0873	12.5	0.498526 0.0813831	-0.779256 0.0348415	-0.873887 0.0266357	
82.5	8.49706	8	-0.763913 0.03304	-0.887277 0.036518	-1.0514 0.023512	
87.5	4.81906	5	-1.10054 0.0255668	-1.12845 0.0268973	-1.31187 0.026546	
92.5	2.38727	3	-1.33568 0.0323613	-1.46691 0.0388498	-1.45992 0.0381544	
97.5	0.720932	2	-2.16891 0.147811	-2.12184 0.136541	-2.51971 0.528958	
