Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	586.545	226.5	0.0230394 0.00218995	 0.0577396 0.00312264	 0.0360709 0.00185866	 0.0199502 0.00143822	 0.0160629 0.00167064	 0.0143004 0.00157623	 
15	399.088	168.5	0.024194 0.00455309	 0.0694371 0.00224933	 0.0387375 0.00180024	 0.0198639 0.00119542	 0.010767 0.000925595	 0.0102518 0.00146593	 
25	267.446	121	0.0199016 0.00160768	 0.0842358 0.00193378	 0.04229 0.00179168	 0.0219859 0.0013307	 0.0123629 0.00149629	 0.011935 0.00180331	 
35	174.137	84	0.0233364 0.00330514	 0.0918239 0.00175222	 0.0408637 0.00160338	 0.0196189 0.000655897	 0.00972719 0.000366736	 0.00987365 0.00147299	 
45	106.507	55.5	0.020853 0.00086873	 0.0968147 0.00157414	 0.0387976 0.00208044	 0.0216784 0.00175574	 0.0116187 0.00144449	 0.00887396 0.00145178	 
55	62.3076	34.5	0.0204012 0.000276241	 0.0919155 0.000580734	 0.0288501 0.000214607	 0.0166682 0.000146909	 0.00716391 5.92868e-05	 0.00395119 3.88096e-05	 
65	33.9503	20	0.0185247 0.000655987	 0.0828928 0.000556245	 0.0218781 0.000418995	 0.014527 0.000137676	 0.00547926 5.78318e-05	 0.00562404 0.00244847	 
75	18.9412	10.5	0.0144162 0.000252002	 0.0683755 0.000768231	 0.0152752 0.000207676	 0.0112752 0.000176532	 0.00376904 5.35124e-05	 0.00216953 3.86514e-05	 
85	6.46733	5	0.00908496 0.000352566	 0.0361313 0.00131963	 0.00616947 0.000257856	 0.00409774 0.000228462	 0.00114419 5.45165e-05	 0.000835274 3.1941e-05	 
95	nan	2.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
