Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
0.5	735.318	253	-4.21209e-05 2.99596e-05	-0.0006043 0.000469758	-7.58518e-05 7.2252e-05	-2.21168e-06 1.83472e-06	-4.9474e-06 4.88258e-06	-5.95049e-06 4.28124e-06	
1.5	669.837	245.5	-2.24201e-05 2.23983e-05	-0.000157137 0.000157111	-3.25734e-06 3.30567e-06	-6.74091e-07 6.73235e-07	-6.06433e-06 6.06447e-06	-2.56938e-06 2.56935e-06	
2.5	648.008	240	-2.17238e-05 1.64454e-05	-0.00019456 0.000194237	-5.84289e-06 5.64201e-06	-2.62672e-07 2.23507e-07	-3.97954e-06 3.37867e-06	-2.15491e-06 1.65373e-06	
3.5	611.962	234	-2.3029e-05 1.66431e-05	-0.000455919 0.000327022	-9.82947e-06 6.98459e-06	-5.41785e-07 4.8236e-07	-1.0578e-05 7.44211e-06	-5.91239e-06 4.15257e-06	
4.5	592.199	228	-1.30817e-05 1.00359e-05	-0.000282117 0.000238991	-4.69675e-05 4.34651e-05	-3.8527e-05 3.81983e-05	-3.88843e-05 3.24027e-05	-2.83551e-05 2.51721e-05	
5.5	564.911	222	-8.41491e-05 5.12446e-05	-0.000908226 0.000512798	-0.000109643 7.7044e-05	-2.72142e-06 2.14043e-06	-3.79473e-06 3.57232e-06	-9.33941e-06 5.49575e-06	
6.5	543.253	216	-3.70921e-05 2.32425e-05	-0.000839422 0.000532503	-0.000231668 0.000219399	-6.59474e-05 6.30744e-05	-2.53359e-05 1.5035e-05	-8.1908e-06 4.65341e-06	
7.5	525.729	209.5	-4.0971e-05 3.4448e-05	-0.000452117 0.000348095	-5.76891e-05 5.4004e-05	-2.16537e-06 1.57728e-06	-4.9842e-06 4.95109e-06	-4.61364e-06 3.25638e-06	
8.5	510.319	203	-7.47214e-05 5.2619e-05	-0.000578037 0.000429097	-7.26226e-05 6.80504e-05	-2.34741e-06 2.24544e-06	-3.34752e-06 3.33375e-06	-3.14968e-06 2.21411e-06	
9.5	487.59	197.5	-3.58365e-05 2.92678e-05	-0.000506926 0.000368664	-4.74567e-05 4.48625e-05	-8.63805e-07 6.2509e-07	-7.1375e-06 6.99183e-06	-8.05735e-06 5.80501e-06	
10.5	469.94	192	-2.33799e-05 2.33338e-05	-0.000331141 0.000333272	-7.32425e-05 7.33019e-05	-5.61127e-06 5.61682e-06	-3.99854e-07 4.00446e-07	-1.76478e-06 1.76482e-06	
11.5	453.805	186	-1.42561e-08 4.00327e-09	2.12818e-06 6.86834e-07	-1.19428e-07 1.47234e-07	7.02462e-09 6.34463e-09	2.01076e-10 5.36692e-10	-2.73916e-12 2.79378e-11	
12.5	439.232	180.5	-0.000177658 0.000168411	-2.20564e-06 4.25425e-06	-5.64532e-08 1.38847e-07	1.06977e-08 6.54048e-09	2.79198e-10 3.97114e-10	-2.0555e-10 2.19306e-10	
13.5	424.372	175	-2.39087e-07 2.23503e-07	3.23144e-06 7.64801e-07	1.38377e-07 9.12267e-08	2.005e-08 6.78834e-09	3.7009e-10 3.43312e-10	-7.87086e-12 2.67011e-11	
14.5	402.216	169.5	-3.98204e-05 2.79719e-05	-0.00101062 0.000725463	-0.000312651 0.000260255	-6.16624e-05 6.09346e-05	-5.78628e-06 5.61265e-06	-6.6673e-06 6.53798e-06	
15.5	389.008	164	-0.00121899 0.00120888	-0.000968518 0.000686369	-0.000211498 0.00015459	-1.50188e-05 1.23856e-05	-5.14834e-07 4.21801e-07	-1.0751e-05 6.83609e-06	
16.5	373.507	158.5	-4.90046e-08 3.27771e-08	6.26727e-06 1.36399e-06	-5.31102e-08 1.70804e-07	2.84233e-09 9.15487e-09	7.48267e-10 3.77456e-10	-3.21077e-11 4.6091e-11	
17.5	354.901	153.5	-8.1167e-05 4.99092e-05	-0.000955612 0.00059443	-0.000117366 8.74502e-05	-2.45886e-06 2.2165e-06	-2.91537e-06 2.56065e-06	-1.09089e-05 6.88557e-06	
18.5	344.291	149	-4.87847e-08 1.19462e-08	5.97831e-06 1.58487e-06	9.79922e-08 1.41071e-07	6.60089e-09 8.17375e-09	-7.33658e-10 7.75119e-10	-4.62933e-11 4.10401e-11	
19.5	331.943	144.5	-1.03205e-05 1.02823e-05	-0.000237459 0.000246427	-5.77599e-06 5.76086e-06	-2.86355e-07 2.88413e-07	-5.4538e-06 5.45362e-06	-2.59924e-06 2.59923e-06	
20.5	315.883	139.5	-9.0687e-05 5.18644e-05	-0.00165666 0.000834703	-0.000433332 0.00024145	-7.19353e-05 6.37042e-05	-1.20355e-05 1.19481e-05	-7.14239e-06 3.59724e-06	
21.5	305.818	135	-1.04599e-05 1.04019e-05	-0.000290059 0.000300526	-5.64764e-05 5.66457e-05	-3.78309e-06 3.80141e-06	-1.77829e-06 1.77856e-06	-7.7458e-06 7.74575e-06	
22.5	299.08	130.5	-6.78794e-06 6.45325e-06	-0.000451513 0.000463403	-8.20861e-05 8.20934e-05	-3.3809e-06 3.38717e-06	-6.4718e-07 6.37608e-07	-6.38907e-06 6.38795e-06	
23.5	282.51	126	-2.26389e-06 1.62985e-06	-0.00032831 0.000307656	-0.000103874 7.70576e-05	-4.24134e-05 3.65303e-05	-3.80487e-05 3.64643e-05	-4.19121e-05 3.68e-05	
24.5	267.308	122	-2.56656e-07 2.08487e-07	1.24057e-05 2.29065e-06	-1.13664e-07 2.57479e-07	5.52769e-09 1.11343e-08	-1.08027e-07 1.05797e-07	-8.023e-09 7.8872e-09	
25.5	260.207	118	-6.1501e-08 1.26561e-08	1.35542e-05 2.28878e-06	1.98154e-07 9.93625e-08	3.33162e-08 8.20897e-09	-8.20116e-11 6.26245e-10	4.81658e-11 4.13569e-11	
26.5	248.598	113.5	-3.87194e-05 2.73695e-05	-0.0005651 0.000483367	-0.000127258 0.000108666	-9.37434e-06 8.34798e-06	-9.27188e-07 6.55931e-07	-4.35824e-06 3.0701e-06	
27.5	240.146	109.5	-8.12655e-08 2.80737e-08	1.64661e-05 2.46519e-06	3.15073e-08 1.61207e-07	1.25784e-08 6.51104e-09	-7.05181e-10 7.54715e-10	-1.97458e-10 1.62307e-10	
28.5	228.022	106	-7.90475e-08 2.54276e-08	1.86167e-05 2.59302e-06	9.06617e-08 1.53192e-07	1.27891e-08 8.38277e-09	3.59418e-10 6.59777e-10	-4.51774e-11 4.76629e-11	
29.5	227.769	102	-4.53659e-06 3.6923e-06	-0.000517096 0.000443669	-7.24824e-05 7.03755e-05	-1.87903e-06 1.67184e-06	-2.82276e-07 2.49838e-07	-5.83979e-06 5.83442e-06	
30.5	211.104	98	-6.92784e-08 1.45725e-08	2.15498e-05 3.19712e-06	-2.97535e-08 1.51312e-07	4.55302e-09 8.49392e-09	2.14233e-10 1.03387e-09	-4.2438e-11 4.87998e-11	
31.5	200.401	94.5	-2.88775e-07 1.56121e-07	2.04273e-05 3.11865e-06	5.28508e-07 1.53224e-07	2.21694e-08 7.29994e-09	-9.45327e-09 8.89586e-09	-2.44919e-07 2.42091e-07	
32.5	192.436	91	-9.57094e-08 2.04533e-08	2.06028e-05 3.11702e-06	-3.69664e-08 1.63146e-07	1.72147e-08 7.75254e-09	-8.20833e-10 7.07807e-10	-1.47542e-11 4.42026e-11	
33.5	187.946	87.5	-4.90451e-05 3.79188e-05	-0.00168334 0.000979273	-0.000319865 0.00018864	-1.41362e-05 1.02556e-05	-7.24813e-07 5.87785e-07	-1.21012e-05 7.41079e-06	
34.5	185.949	84.5	-4.65313e-07 3.22498e-07	2.55248e-05 4.03198e-06	2.27878e-07 1.36586e-07	4.21889e-09 1.07315e-08	-2.95798e-09 3.31818e-09	-6.2286e-09 6.20987e-09	
