Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	735.318	253	-2.99139 0.303875	-2.6654 1.11963	-2.17124 0.550632	
1.5	669.837	245.5	-2.62036 2.25698	-1.5489 0.97155	-1.78226 1.41311	
2.5	648.008	240	-2.73585 2.02282	-1.72735 0.913453	-1.41587 0.455722	
3.5	611.962	234	-2.68346 0.154175	-1.77752 0.27683	-1.64602 0.612281	
4.5	592.199	228	-2.50196 0.606869	-2.33766 0.900232	-3.26523 1.8146	
5.5	564.911	222	-2.5168 0.108039	-2.43267 0.242692	-2.07365 0.457456	
6.5	543.253	216	-2.54922 0.214165	-2.88812 1.12848	-3.25856 1.18651	
7.5	525.729	209.5	-2.44964 0.381447	-2.32292 0.952526	-2.03162 0.308018	
8.5	510.319	203	-2.43096 0.316957	-2.3683 0.975985	-2.03549 0.991048	
9.5	487.59	197.5	-2.36276 0.2775	-2.29983 1.00566	-1.63375 0.300607	
10.5	469.94	192	-2.1472 1.45097	-2.42452 1.93323	-2.4702 1.94022	
11.5	453.805	186	0.699827 0.0522191	-0.569516 0.316204	0.549245 0.117856	
12.5	439.232	180.5	-0.649131 0.071961	-0.461766 0.20748	0.596439 0.0865096	
13.5	424.372	175	0.726629 0.0370598	0.606198 0.093228	0.681526 0.0519891	
14.5	402.216	169.5	-2.3256 0.241659	-2.74976 0.513975	-3.16115 1.66824	
15.5	389.008	164	-2.23104 0.247853	-2.65799 0.235189	-2.73518 0.51721	
16.5	373.507	158.5	0.747005 0.0330752	-0.434505 0.360483	0.393569 0.299188	
17.5	354.901	153.5	-2.09442 0.199185	-2.26823 0.39368	-1.95372 0.731768	
18.5	344.291	149	0.713863 0.0414897	0.495218 0.166872	0.511372 0.149588	
19.5	331.943	144.5	-1.6207 0.850286	-1.3491 1.01842	-1.29647 0.905001	
20.5	315.883	139.5	-2.10357 0.0782814	-2.51125 0.137102	-2.9705 0.747844	
21.5	305.818	135	-1.62859 0.864251	-2.19284 1.60146	-2.14995 1.50065	
22.5	299.08	130.5	-1.78069 0.997113	-2.31623 2.04469	-2.07922 1.59019	
23.5	282.51	126	-1.62776 0.737482	-2.28502 0.315649	-2.87574 0.591555	
24.5	267.308	122	0.756206 0.0274044	-0.490153 0.170768	0.477099 0.202284	
25.5	260.207	118	0.771944 0.0242572	0.607344 0.0711472	0.724854 0.0396956	
26.5	248.598	113.5	-1.73296 0.547277	-2.33071 0.640609	-2.42515 0.772525	
27.5	240.146	109.5	0.788025 0.0208925	0.355903 0.408144	0.602717 0.0721601	
28.5	228.022	106	0.807002 0.01946	0.474682 0.185267	0.593035 0.0923545	
29.5	227.769	102	-1.66214 0.528899	-2.12754 1.12362	-1.82347 0.657425	
30.5	211.104	98	0.801266 0.0204434	-0.360831 0.405516	0.463165 0.194557	
31.5	200.401	94.5	0.793884 0.0224489	0.692595 0.0445217	0.668659 0.0494974	
32.5	192.436	91	0.789242 0.0218963	-0.375748 0.434895	0.616035 0.0640348	
33.5	187.946	87.5	-1.95485 0.149339	-2.50512 0.0915965	-2.41408 0.355495	
34.5	185.949	84.5	0.801863 0.0243971	0.609513 0.0866098	0.437117 0.24788	
35.5	167.886	81.5	0.77497 0.0249228	0.47973 0.149356	0.503625 0.146034	
36.5	158.093	78.5	-1.75985 0.154405	-2.37386 0.0652766	-2.19751 0.107321	
37.5	153.233	75.5	0.759184 0.0288638	0.69611 0.0403818	0.547764 0.135592	
