Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	586.545	226.5	-2.5999 0.0438256	-2.53191 0.202365	-2.98474 0.459538	
15	399.088	168.5	-1.98201 0.124829	-2.38823 0.199929	-2.71136 0.599296	
25	267.446	121	-1.66128 0.10939	-2.30308 0.130315	-2.75269 0.353072	
35	174.137	84	-1.49241 0.13206	-2.21318 0.147438	-2.03513 0.216513	
45	106.507	55.5	-1.35513 0.15887	-2.59966 0.225495	-3.18754 0.325226	
55	62.3076	34.5	0.762246 0.00869305	0.534874 0.039015	-0.733098 0.0232279	
65	33.9503	20	0.705245 0.0136125	-1.5001 0.389772	-0.841287 0.0167213	
75	18.9412	10.5	-0.411893 0.124012	-0.843307 0.0281694	-0.999185 0.0187837	
85	6.46733	5	-1.24567 0.0333211	-1.36269 0.0592657	-1.6195 0.0538834	
95	nan	2.5	nan nan	nan nan	nan nan	
