Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	586.545	226.5	9.67225e-07 2.72635e-07	4.14748e-05 1.10514e-05	3.46052e-06 2.03555e-06	4.306e-07 3.26247e-07	1.90304e-07 9.46257e-08	1.07066e-07 6.27592e-08	
15	399.088	168.5	2.47142e-05 2.31619e-05	3.60753e-05 1.31771e-05	4.08092e-06 2.15089e-06	2.56376e-07 2.23484e-07	1.47402e-08 8.8466e-09	3.51253e-08 1.39102e-08	
25	267.446	121	3.86858e-07 1.87874e-07	3.79311e-05 1.27268e-05	4.49139e-06 1.87315e-06	4.07546e-07 2.91747e-07	1.23908e-07 1.01226e-07	1.3855e-07 9.99724e-08	
35	174.137	84	1.09427e-05 1.07405e-05	4.0818e-05 1.5529e-05	3.28577e-06 1.31575e-06	2.80258e-08 1.63129e-08	7.00757e-10 4.47085e-10	3.7841e-08 1.74416e-08	
45	106.507	55.5	7.26964e-08 3.45828e-08	3.89691e-05 1.71801e-05	7.73731e-06 4.13538e-06	9.76193e-07 6.20701e-07	8.12094e-08 4.79893e-08	3.14558e-08 1.75159e-08	
55	62.3076	34.5	1.22217e-10 2.97123e-11	9.75419e-08 1.03577e-08	-7.20787e-12 9.02793e-12	-3.21271e-12 5.23061e-13	-3.4249e-15 3.16272e-15	3.03297e-16 2.12454e-16	
65	33.9503	20	4.85201e-08 4.845e-08	2.1393e-08 5.54596e-09	1.42475e-08 1.19102e-08	-2.61237e-12 3.0456e-13	1.23084e-13 1.21573e-13	4.35663e-08 4.35663e-08	
75	18.9412	10.5	2.25789e-12 1.72073e-12	-2.50402e-08 2.39987e-09	-2.11258e-12 5.97803e-13	-8.0602e-13 1.64726e-13	-1.05595e-15 1.56476e-16	7.67529e-17 3.61869e-17	
85	6.46733	5	8.59113e-13 3.21916e-13	-3.38755e-10 8.36167e-10	2.24476e-13 1.52707e-13	8.41643e-14 3.02439e-14	2.10935e-17 7.13648e-18	7.71709e-19 5.19323e-19	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
