Cent%	 dNdy	 Npart	 v2{6}/v2{4} err	 v3{6}/v3{4} err	 v4{6}/v4{4} err
0.5	735.318	253	nan nan nan nan nan nan 
1.5	669.837	245.5	nan nan nan nan nan nan 
2.5	648.008	240	nan nan nan nan nan nan 
3.5	611.962	234	nan nan nan nan nan nan 
4.5	592.199	228	nan nan nan nan nan nan 
5.5	564.911	222	nan nan nan nan nan nan 
6.5	543.253	216	nan nan nan nan nan nan 
7.5	525.729	209.5	nan nan nan nan nan nan 
8.5	510.319	203	nan nan nan nan nan nan 
9.5	487.59	197.5	nan nan nan nan nan nan 
10.5	469.94	192	nan nan nan nan nan nan 
11.5	453.805	186	1.014 0.0596589 nan nan 1.03676 0.163444 
12.5	439.232	180.5	nan nan nan nan 0.951403 0.14708 
13.5	424.372	175	0.978372 0.0262426 1.07963 0.156725 0.944024 0.0682377 
14.5	402.216	169.5	nan nan nan nan nan nan 
15.5	389.008	164	nan nan nan nan nan nan 
16.5	373.507	158.5	0.969706 0.0220239 nan nan nan nan 
17.5	354.901	153.5	nan nan nan nan nan nan 
18.5	344.291	149	0.978506 0.0342881 0.968765 0.449405 1.08046 0.216123 
19.5	331.943	144.5	nan nan nan nan nan nan 
20.5	315.883	139.5	nan nan nan nan nan nan 
21.5	305.818	135	nan nan nan nan nan nan 
22.5	299.08	130.5	nan nan nan nan nan nan 
23.5	282.51	126	nan nan nan nan nan nan 
24.5	267.308	122	0.978671 0.01501 nan nan 1.07053 nan 
25.5	260.207	118	0.975149 0.013398 0.716649 0.778904 0.994208 0.0297783 
26.5	248.598	113.5	nan nan nan nan nan nan 
27.5	240.146	109.5	0.979322 0.0097952 nan nan nan nan 
28.5	228.022	106	0.984735 0.00756251 1.18257 0.314848 1.03819 0.119497 
29.5	227.769	102	nan nan nan nan nan nan 
30.5	211.104	98	0.976462 0.00945524 nan nan nan nan 
31.5	200.401	94.5	0.985134 0.0111469 0.950158 0.0456789 0.920413 0.0786409 
32.5	192.436	91	0.983501 0.0101714 nan nan 0.591338 nan 
33.5	187.946	87.5	nan nan nan nan nan nan 
34.5	185.949	84.5	0.996229 0.00947771 1.01169 0.10291 0.86545 nan 
35.5	167.886	81.5	0.981223 0.0123699 nan nan 0.921529 0.542327 
36.5	158.093	78.5	nan nan nan nan nan nan 
37.5	153.233	75.5	0.993039 0.0136063 0.931671 0.0532082 1.20631 0.268564 
38.5	147.879	72.5	0.961977 0.0275667 0.968872 0.181703 1.74682 1.16242 
39.5	138.583	69.5	nan nan nan nan nan nan 
40.5	132.081	66.5	nan nan nan nan nan nan 
41.5	125.733	63.5	0.980905 0.00872708 nan nan nan nan 
42.5	119.31	61	0.980613 0.0115997 nan nan nan nan 
43.5	113.363	58.5	nan nan nan nan nan nan 
44.5	108.133	56	nan nan nan nan nan nan 
45.5	105.106	53.5	0.975065 0.00782499 nan nan nan nan 
46.5	97.1137	51	0.978986 0.01941 nan nan nan nan 
47.5	92.7466	49	nan nan nan nan nan nan 
48.5	88.7154	47	0.956583 0.0143993 nan nan nan nan 
49.5	83.0652	44.5	0.967572 0.0191286 0.952011 0.0323113 nan nan 
50.5	79.2623	42	0.950334 0.0222017 0.807527 2.10473 nan nan 
51.5	74.6962	40	0.986314 0.02654 nan nan nan nan 
52.5	71.0935	38.5	0.970954 0.0140175 0.90998 0.139581 nan nan 
53.5	66.9867	37	0.972558 0.0118329 0.940186 0.0901359 nan nan 
54.5	63.7864	35	0.967726 0.0117911 0.773005 0.340496 nan nan 
55.5	60.0902	33	0.966057 0.013699 0.699884 nan nan nan 
56.5	56.6698	31.5	0.978454 0.0185141 0.860906 0.130578 nan nan 
57.5	53.0701	30	0.93451 0.0320414 nan nan nan nan 
58.5	50.4296	28	0.972501 0.015287 nan nan nan nan 
59.5	47.4052	26.5	0.955113 0.0171082 nan nan nan nan 
60.5	44.7447	25.5	0.989475 0.0295826 nan nan nan nan 
61.5	41.5496	24	1.01847 0.0761686 nan nan nan nan 
62.5	39.7283	22.5	0.897564 0.0580736 nan nan nan nan 
63.5	36.4966	21.5	0.902792 0.0569763 nan nan nan nan 
64.5	34.2525	20.5	0.92754 0.0309733 nan nan nan nan 
65.5	32.2388	19	0.906123 0.0417179 nan nan nan nan 
66.5	30.4804	17.5	0.94953 0.0227183 nan nan nan nan 
67.5	27.7222	16.5	0.795558 0.209846 nan nan nan nan 
68.5	26.01	15.5	nan nan nan nan nan nan 
69.5	24.5199	14.5	nan nan nan nan nan nan 
70.5	22.489	13.5	nan nan nan nan nan nan 
71.5	20.8155	13	nan nan nan nan nan nan 
72.5	19.036	12.5	nan nan nan nan nan nan 
73.5	17.9211	11.5	nan nan nan nan nan nan 
74.5	16.616	10.5	nan nan nan nan nan nan 
75.5	14.9758	10	nan nan nan nan nan nan 
76.5	14.3061	9.5	nan nan nan nan nan nan 
77.5	12.608	8.5	nan nan nan nan nan nan 
78.5	11.9651	8	nan nan nan nan nan nan 
79.5	10.6179	7.5	nan nan nan nan nan nan 
80.5	9.52395	7	nan nan nan nan nan nan 
81.5	8.80245	6.5	nan nan nan nan nan nan 
82.5	7.9211	6	nan nan nan nan nan nan 
83.5	7.13899	5.5	nan nan nan nan nan nan 
84.5	6.44976	5	nan nan nan nan nan nan 
85.5	5.75018	4.5	nan nan nan nan nan nan 
86.5	5.17809	4	nan nan nan nan nan nan 
87.5	4.52677	4	nan nan nan nan nan nan 
88.5	4.06829	4	nan nan nan nan nan nan 
89.5	3.47012	3.5	nan nan nan nan nan nan 
90.5	nan	3	nan nan nan nan nan nan 
91.5	nan	3	nan nan nan nan nan nan 
92.5	nan	2.5	nan nan nan nan nan nan 
93.5	nan	2	nan nan nan nan nan nan 
94.5	nan	2	nan nan nan nan nan nan 
95.5	nan	2	nan nan nan nan nan nan 
96.5	nan	2	nan nan nan nan nan nan 
97.5	nan	2	nan nan nan nan nan nan 
98.5	nan	2	nan nan nan nan nan nan 
99.5	nan	0	nan nan nan nan nan nan 
