Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	691.479	241.5	0.115573 0.0198115	0.508354 0.044347	0.746305 0.0411385	
7.5	563.324	210	0.110054 0.0261842	0.587204 0.0408136	0.630717 0.0482853	
12.5	467.641	181	0.128263 0.0300694	0.772193 0.0407433	0.726533 0.0503788	
17.5	384.104	154.5	0.190451 0.0341543	0.803411 0.03343	0.709867 0.0471112	
22.5	315.092	131	0.296819 0.0368385	0.939316 0.0166059	0.870415 0.0282832	
27.5	257.343	110	0.211583 0.0508173	0.857588 0.0310684	0.74815 0.043026	
32.5	209.026	91.5	0.301946 0.0207129	0.900759 0.0249958	0.774161 0.0418677	
37.5	167.155	75.5	0.272348 0.0194905	0.91181 0.019852	0.79057 0.0369416	
42.5	129.995	61.5	0.223078 0.0577642	0.930971 0.0123649	0.803354 0.0338929	
47.5	100.757	49	0.245939 0.0323468	0.933445 0.00507777	0.814295 0.00818918	
52.5	76.2788	38.5	0.290657 0.017834	0.919464 0.00856912	0.753537 0.0369613	
57.5	57.0444	30	0.280461 0.0177844	0.898259 0.0042654	0.720077 0.0100119	
62.5	42.1024	23	0.231588 0.0189982	0.856283 0.00607134	0.65769 0.0117039	
67.5	30.2267	17	0.0952785 0.0214768	0.811415 0.00721553	0.580491 0.0141245	
72.5	21.2658	12	0.131295 0.0208364	0.737923 0.00980107	0.506192 0.0163305	
77.5	13.7135	8.5	0.317679 0.0451742	0.68925 0.0282249	0.396072 0.049848	
82.5	8.51766	6	0.375959 0.0394484	0.585085 0.030736	0.27303 0.0506852	
87.5	4.86351	4	0.374357 0.0429681	0.550458 0.0390625	0.290917 0.0544053	
92.5	nan	2.5	nan nan	nan nan	nan nan	
97.5	nan	2	nan nan	nan nan	nan nan	
