Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	625.347	226.5	0.236313 1.40186e-06	0.235866 6.05241e-06	0.00821194 0.000477333	0.173138 5.7815e-06	0.173689 0.0012512	-0.0107589 0.0121924	
15	425.73	168.5	0.223126 8.48284e-06	0.213231 3.27537e-05	0.0832844 0.000167498	0.147819 2.0677e-05	0.152131 1.3893e-05	-0.0503191 0.000650102	
25	285.914	121	0.208904 6.74349e-06	0.194333 0.000201241	0.0769379 0.00120882	0.12726 1.68003e-05	0.133006 5.74704e-05	-0.0454811 0.000680098	
35	187.639	84	0.190903 5.46162e-06	0.166209 5.25536e-05	0.0944633 0.000332025	0.104394 1.29573e-05	0.114276 3.03258e-05	-0.0586713 6.4251e-05	
45	115.583	55.5	0.176067 7.75947e-06	0.147615 4.66683e-05	0.0832021 8.14135e-05	0.0800696 7.96522e-07	0.0931852 4.26779e-06	-0.0594727 4.71421e-05	
55	66.7145	34.5	0.150515 6.65004e-06	0.127431 3.9362e-05	0.0561472 0.000142326	0.0548365 5.27093e-06	0.0693347 0.000316543	-0.0568106 0.00074715	
65	36.2826	20	0.113933 4.21862e-06	0.119386 3.12004e-05	-0.0113631 7.18165e-05	0.0321022 7.70663e-07	0.0493895 2.13638e-06	-0.0614724 1.23048e-05	
75	20.2641	10.5	0.0831593 1.56181e-05	0.123052 0.000616384	-0.0803334 0.0010857	0.0185085 1.61068e-05	0.0355738 0.000125775	-0.0541911 0.000269112	
85	6.78735	5	0.0428221 0.000215672	0.0969274 0.00136629	-0.102048 0.00187494	0.00544779 7.30309e-05	0.0165582 0.000200098	-0.0306731 0.000312706	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
