Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	691.479	241.5	0.239761 5.72478e-06	0.227177 5.80306e-06	0.3432 0.0015323	0.1825 1.99274e-05	0.184903 7.32115e-05	-0.0598176 0.00223519	
7.5	563.324	210	0.234667 2.44527e-06	0.2367 6.85632e-06	-0.0323127 0.000638253	0.167037 1.89311e-05	0.163105 0.00164005	0.0673443 0.0160471	
12.5	467.641	181	0.225711 3.67974e-05	0.216894 0.000150396	0.0904961 0.00270897	0.1583 1.56797e-05	0.154742 4.20972e-05	0.0481549 0.000168745	
17.5	384.104	154.5	0.221373 1.43816e-05	0.207785 6.36979e-05	0.101913 0.000311204	0.139707 4.10813e-05	0.144822 6.43153e-06	-0.0539338 0.000789753	
22.5	315.092	131	0.212277 1.29521e-05	0.195654 0.000532181	0.0961784 0.00315911	0.133213 3.23235e-05	0.137359 0.000194137	-0.0363399 0.00206374	
27.5	257.343	110	0.206217 3.41264e-05	0.190821 3.29541e-06	0.0759921 0.000560909	0.12236 2.01475e-05	0.127634 7.64861e-05	-0.0386678 0.000624989	
32.5	209.026	91.5	0.195498 1.96765e-06	0.171115 0.000671405	0.101274 0.00267388	0.112873 2.35414e-06	0.117061 7.82878e-06	-0.0266951 3.49138e-05	
37.5	167.155	75.5	0.187103 8.84049e-06	0.158298 8.45185e-05	0.103434 0.000545653	0.09758 2.49266e-05	0.110036 6.23247e-05	-0.0700902 0.000148725	
42.5	129.995	61.5	0.182312 1.54117e-05	0.152116 9.17769e-05	0.0933849 0.000159413	0.0881641 5.83293e-07	0.0976518 1.45887e-05	-0.0458936 0.00013261	
47.5	100.757	49	0.170337 1.5254e-05	0.139256 4.37744e-05	0.0865683 9.82782e-05	0.0728129 2.93825e-05	0.086961 0.000730262	-0.0607473 0.00217125	
52.5	76.2788	38.5	0.15856 1.57007e-05	0.128178 8.70815e-05	0.0768143 0.000323688	0.0618887 1.9961e-05	0.0733571 0.000734478	-0.0461649 0.00166459	
57.5	57.0444	30	0.143104 3.3184e-05	0.122912 0.000983565	0.0474522 0.00182073	0.0481328 8.89672e-06	0.0644736 7.47242e-05	-0.0624533 0.00035685	
62.5	42.1024	23	0.124233 1.10385e-05	0.110226 8.39356e-05	0.0302973 0.000151453	0.0368152 2.28698e-05	0.0543215 8.06964e-05	-0.0629798 0.000240396	
67.5	30.2267	17	0.104029 7.1031e-06	0.123286 6.43277e-05	-0.0387605 0.000139904	0.0270207 2.5852e-06	0.0437397 5.35112e-07	-0.0587192 1.28255e-05	
72.5	21.2658	12	0.0851542 1.59409e-05	0.124889 0.000728371	-0.0801025 0.00127737	0.0194023 1.95596e-05	0.0364043 0.000153076	-0.0543151 0.000325684	
77.5	13.7135	8.5	0.0681008 0.000502266	0.108265 0.00635508	-0.0802237 0.00768436	0.0118884 5.22865e-05	0.0286769 0.000241193	-0.0510502 0.000533463	
82.5	8.51766	6	0.0460402 0.000356705	0.0966604 0.00240042	-0.0935497 0.00331058	0.00615321 0.000125644	0.0194556 0.000392539	-0.0377329 0.00065905	
87.5	4.86351	4	0.0369545 0.000591799	0.0982315 0.00631413	-0.120081 0.00785001	0.00425959 4.06155e-05	0.0124904 0.000200227	-0.0217446 0.000389844	
92.5	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
