Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
2.5	691.479	241.5	1.81424 0.0793651
7.5	563.324	210	1.65865 0.052925
12.5	467.641	181	1.65066 0.0549827
17.5	384.104	154.5	1.83991 0.0443723
22.5	315.092	131	2.05332 0.040366
27.5	257.343	110	2.07781 0.061399
32.5	209.026	91.5	2.11612 0.0792359
37.5	167.155	75.5	2.32968 0.0681274
42.5	129.995	61.5	2.56392 0.0792639
47.5	100.757	49	2.89865 0.0447757
52.5	76.2788	38.5	2.97165 0.0949335
57.5	57.0444	30	3.42663 0.0515605
62.5	42.1024	23	3.77415 0.0574461
67.5	30.2267	17	4.24711 0.0655804
72.5	21.2658	12	4.54483 0.081407
77.5	13.7135	8.5	4.92242 0.20545
82.5	8.51766	6	5.54139 0.288711
87.5	4.86351	4	6.99396 0.61073
92.5	nan	2.5	nan nan
97.5	nan	2	nan nan
