Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	691.479	241.5	0.0291806 0.00297205	 0.0632721 0.00482763	 0.0348752 0.00192356	 0.0193599 0.000884438	 0.0220483 0.00234866	 0.0179078 0.00196009	 
7.5	563.324	210	0.0331351 0.00446411	 0.0751597 0.00497103	 0.0453138 0.00323009	 0.0250044 0.00216753	 0.0207319 0.00215075	 0.01909 0.0021136	 
12.5	467.641	181	0.0281379 0.0035359	 0.0707537 0.003597	 0.0428639 0.00288674	 0.0241852 0.0022995	 0.013881 0.00170132	 0.0132447 0.00211143	 
17.5	384.104	154.5	0.0301032 0.00455896	 0.0806981 0.00334515	 0.0438599 0.00246332	 0.0228226 0.00163352	 0.0155615 0.00169719	 0.0147202 0.0021614	 
22.5	315.092	131	0.0184069 0.00205027	 0.0763411 0.00137329	 0.0371793 0.00115683	 0.0191153 0.000480121	 0.00888999 0.00012178	 0.00600617 0.000974059	 
27.5	257.343	110	0.0262815 0.00405192	 0.0900372 0.00307749	 0.0433328 0.00231412	 0.0236862 0.00299523	 0.0106582 0.000599228	 0.012759 0.00232628	 
32.5	209.026	91.5	0.0202277 0.000673215	 0.0891511 0.00212375	 0.0421294 0.00228676	 0.0214573 0.00170148	 0.0121603 0.00202148	 0.0113702 0.0022893	 
37.5	167.155	75.5	0.0221339 0.000830324	 0.0907116 0.0018572	 0.0389374 0.00176355	 0.0192211 0.000876288	 0.0104368 0.000904451	 0.00964314 0.0023443	 
42.5	129.995	61.5	0.0273421 0.00528216	 0.0943048 0.00166114	 0.0367815 0.00160815	 0.0189905 0.00070743	 0.00905549 0.000300477	 0.00616275 0.00131627	 
47.5	100.757	49	0.0253077 0.00193626	 0.0930528 0.000918456	 0.0321022 0.000337099	 0.0178401 0.000221317	 0.00826063 0.000167806	 0.00558341 0.000908785	 
52.5	76.2788	38.5	0.023075 0.000394981	 0.0927226 0.00124635	 0.0312024 0.00122507	 0.017785 0.000666379	 0.00784878 0.00037369	 0.00433915 0.0001926	 
57.5	57.0444	30	0.0236715 0.000406192	 0.0897441 0.000765325	 0.0261902 0.000271356	 0.0163387 0.00019566	 0.00677766 7.44466e-05	 0.00397399 5.36611e-05	 
62.5	42.1024	23	0.0209286 0.000339656	 0.0847907 0.000740005	 0.0224662 0.000238209	 0.0153957 0.000187317	 0.00583342 6.7277e-05	 0.0034568 5.00488e-05	 
67.5	30.2267	17	0.0186946 0.000302636	 0.0779482 0.000728583	 0.0183532 0.000210243	 0.013768 0.00018138	 0.00489024 6.12321e-05	 0.00298809 4.4654e-05	 
72.5	21.2658	12	0.0158645 0.000271756	 0.068588 0.00077808	 0.0150915 0.000205255	 0.0116991 0.000181871	 0.00383945 5.28787e-05	 0.00233445 3.99971e-05	 
77.5	13.7135	8.5	0.0139194 0.000674434	 0.0546591 0.00199415	 0.0111041 0.000387849	 0.00847551 0.000418743	 0.00280078 0.000142358	 0.00160438 9.50349e-05	 
82.5	8.51766	6	0.010648 0.000530828	 0.0407653 0.00181664	 0.00735652 0.000341133	 0.00506293 0.000318866	 0.00148525 7.49206e-05	 0.00103967 4.45448e-05	 
87.5	4.86351	4	0.00783785 0.000532233	 0.0271584 0.00168448	 0.00388312 0.000301783	 0.00230319 0.000186561	 0.000697573 6.60202e-05	 0.000577033 4.03656e-05	 
92.5	nan	2.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
97.5	nan	2	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
