Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	646.68	241	0.0853354 0.0357417	0.948071 0.00240414	0.948288 0.00268024	
7.5	526.102	209	0.0638195 0.0350388	0.958425 0.0019095	0.944394 0.00336149	
12.5	433.007	180	0.139914 0.0316839	0.964796 0.00168263	0.934134 0.00384875	
17.5	357.75	153.5	0.191715 0.0319405	0.967597 0.00164223	0.920593 0.00535565	
22.5	292.153	130	0.247287 0.0313816	0.965206 0.00195789	0.910449 0.00618253	
27.5	236.638	109.5	0.134452 0.0293281	0.9668 0.00197394	0.897938 0.00629918	
32.5	190.409	91.5	0.231129 0.0282086	0.96744 0.00189619	0.883384 0.0076821	
37.5	151.528	75.5	0.257733 0.0289765	0.956772 0.00249844	0.852629 0.0102009	
42.5	119.154	61.5	0.209696 0.0283011	0.952849 0.00329695	0.853999 0.0098641	
47.5	92.327	49	0.200885 0.0295101	0.9438 0.0045021	0.825779 0.0102484	
52.5	69.9699	38.5	0.230086 0.0313033	0.937694 0.00432077	0.800696 0.0129237	
57.5	52.0015	30	0.210216 0.0321727	0.919934 0.00580645	0.782364 0.0148229	
62.5	38.2458	23	0.224255 0.0304713	0.892595 0.00745851	0.693931 0.0178391	
67.5	27.3572	17	0.0445015 0.0362254	0.830679 0.0120034	0.620833 0.0228488	
72.5	18.8848	12	0.178268 0.0326873	0.748357 0.0158913	0.557446 0.02556	
77.5	12.452	8.5	0.348312 0.0266705	0.691142 0.0174033	0.476432 0.027671	
82.5	7.77222	6	0.356452 0.0272114	0.613979 0.0202713	0.399115 0.0299278	
87.5	4.5236	4	0.423691 0.0296213	0.611766 0.0251676	0.314772 0.0353588	
92.5	3.35477	2.5	0.992398 0.568158	0.796231 0.694922	0.996501 0.0157754	
97.5	nan	2	nan nan	nan nan	nan nan	
