Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	646.68	241	0.242277 0.000164199	0.246553 0.00223744	-0.0960467 0.0392507	0.175415 2.53608e-06	0.178858 4.84953e-06	-0.0845636 6.47212e-05	
7.5	526.102	209	0.23285 4.3782e-05	0.229576 0.000532263	0.0474407 0.010039	0.164914 3.14479e-05	0.163609 0.00037486	0.0219419 0.00788164	
12.5	433.007	180	0.226122 6.21736e-05	0.213134 0.00122879	0.125991 0.0122654	0.154648 5.02402e-05	0.156869 0.000139357	-0.0300664 0.000956143	
17.5	357.75	153.5	0.219649 4.0403e-05	0.209944 0.000755226	0.0699377 0.00635795	0.14237 3.26685e-05	0.145323 0.000236661	-0.0290175 0.00294054	
22.5	292.153	130	0.213689 1.31803e-05	0.195848 4.49584e-05	0.101707 0.000451196	0.131253 4.1752e-05	0.13637 5.63738e-05	-0.0458481 0.00163869	
27.5	236.638	109.5	0.20793 0.00011176	0.18573 0.000591022	0.106496 0.00335108	0.119082 9.19696e-05	0.13062 0.000439808	-0.0823039 0.00296495	
32.5	190.409	91.5	0.200361 7.4235e-06	0.177513 5.0622e-05	0.0914153 1.59876e-05	0.110301 1.41789e-05	0.116082 0.000126211	-0.0382622 0.00147118	
37.5	151.528	75.5	0.188899 2.72488e-05	0.164834 0.00341118	0.0855035 0.00947076	0.0962963 1.58452e-05	0.102263 6.35067e-05	-0.0352957 0.000299672	
42.5	119.154	61.5	0.183676 4.54491e-05	0.160473 0.000197704	0.0728375 0.000720349	0.0885003 6.53869e-05	0.0997975 0.00648738	-0.0558747 0.0142165	
47.5	92.327	49	0.172139 2.18864e-06	0.147539 1.54113e-05	0.0680092 3.6642e-05	0.0745172 9.9864e-06	0.0879613 4.50154e-05	-0.058527 0.000163168	
52.5	69.9699	38.5	0.162919 9.83249e-07	0.129283 1.90165e-06	0.0862488 0.000328874	0.0659433 2.76666e-05	0.0812087 1.20818e-05	-0.0675127 0.000250711	
57.5	52.0015	30	0.147874 0.000117581	0.127721 0.00434093	0.0476624 0.00779242	0.0559279 2.00463e-06	0.0708734 1.54451e-05	-0.0579742 5.00407e-05	
62.5	38.2458	23	0.132914 3.8725e-05	0.141481 0.000580741	-0.0182341 0.00163856	0.0416427 3.96756e-05	0.0571154 0.000175252	-0.0588988 0.00064999	
67.5	27.3572	17	0.110373 0.000118871	0.117439 0.0022679	-0.0144323 0.00374032	0.0296489 1.08582e-05	0.045742 9.92518e-05	-0.0571423 0.000478576	
72.5	18.8848	12	0.0853964 0.000281098	0.140635 0.00447191	-0.106062 0.00454109	0.0225431 1.56955e-06	0.04258 8.26504e-06	-0.0643672 1.96082e-05	
77.5	12.452	8.5	0.0682406 3.76313e-05	0.122412 0.00369625	-0.104577 0.00514051	0.0147802 4.82208e-05	0.0362779 2.55977e-05	-0.0637087 8.15638e-05	
82.5	7.77222	6	0.0484701 3.38369e-05	0.113701 5.5565e-05	-0.12449 5.99445e-05	0.00913188 9.47477e-06	0.0237492 2.32201e-05	-0.0386132 4.42814e-05	
87.5	4.5236	4	0.0434985 3.87483e-05	0.10612 0.000365996	-0.123427 0.00060254	0.00481448 3.69711e-05	0.0157506 0.000152896	-0.0285906 0.000305437	
92.5	3.35477	2.5	0.0830307 0.000186454	-0.0128541 inf	211.405 inf	-0.01867 8.80642e-07	-1.81915 1.30843	1889.9 52720.5	
97.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
