Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	724.117	252.5	0.00862388 0.000613298	 0.0347887 0.00119216	 0.0249624 0.000976318	 0.0147303 0.000588147	 0.00705051 0.000231912	 0.00386091 0.000150154	 
1.5	670.124	244.5	0.00804004 0.000462932	 0.0372825 0.00130749	 0.0260545 0.000944974	 0.0135205 0.000488211	 0.00668936 0.000249548	 0.00365945 0.000142141	 
2.5	640.396	239	0.00860147 0.000492888	 0.0394109 0.0012938	 0.0263095 0.000867679	 0.0143528 0.00060958	 0.00664192 0.000218989	 0.00352982 0.000128033	 
3.5	614.986	233	0.0083764 0.000509349	 0.0412409 0.00172101	 0.0261059 0.00104407	 0.0146952 0.000582639	 0.00716035 0.00026614	 0.0036024 0.000145467	 
4.5	587.037	227	0.00791913 0.000434837	 0.0426556 0.00139167	 0.0273495 0.00107136	 0.0151841 0.000522929	 0.00742576 0.000258147	 0.00388904 0.000159654	 
5.5	567.251	221	0.00918809 0.000522005	 0.0403081 0.00158862	 0.0296055 0.00116285	 0.0162489 0.000627509	 0.00766333 0.000263599	 0.00377265 0.00016364	 
6.5	545.991	215	0.00920588 0.000626201	 0.0465817 0.0015843	 0.02956 0.00112802	 0.0168517 0.000596435	 0.00786993 0.000293875	 0.00419831 0.000152302	 
7.5	525.359	209	0.00956347 0.000609358	 0.0484982 0.00161896	 0.0299573 0.00121323	 0.0167045 0.000625719	 0.00739695 0.000286729	 0.00399642 0.000147958	 
8.5	505.869	203	0.00996173 0.000557452	 0.0510231 0.00151854	 0.0297871 0.00105007	 0.0173506 0.000524502	 0.00758733 0.000225436	 0.00392275 0.000133573	 
9.5	486.527	197	0.00900551 0.000491768	 0.0524795 0.00184922	 0.0337031 0.0012863	 0.0161975 0.000625231	 0.0079012 0.00029703	 0.00386717 0.000130116	 
10.5	469.011	191	0.0106347 0.000556249	 0.0555594 0.00202938	 0.0313719 0.00102417	 0.0167286 0.000616364	 0.00830324 0.000285196	 0.00403726 0.000163806	 
11.5	448.756	185	0.00985927 0.000478114	 0.0561446 0.00184915	 0.0308151 0.00112417	 0.0167423 0.000574572	 0.00802843 0.00030107	 0.00414676 0.000167994	 
12.5	432.554	179.5	0.00929353 0.000421077	 0.0585321 0.00184875	 0.0322094 0.00118156	 0.0172951 0.000662697	 0.00841214 0.000338683	 0.00400828 0.00015763	 
13.5	415.406	174	0.0113761 0.00063155	 0.0598357 0.00213268	 0.0318689 0.00106913	 0.0168097 0.000649281	 0.00791091 0.000288205	 0.00411823 0.000153061	 
14.5	401.104	168.5	0.0120511 0.0006156	 0.0614352 0.0018166	 0.0356713 0.00128843	 0.0173701 0.000573777	 0.00806358 0.000329672	 0.00446609 0.00017474	 
15.5	386.831	163.5	0.0114924 0.000688053	 0.0654175 0.002097	 0.0344073 0.00131092	 0.0178772 0.00057463	 0.00864938 0.000315641	 0.00428097 0.000182226	 
16.5	370.076	158.5	0.0109014 0.000556474	 0.0621908 0.00190991	 0.03458 0.00122369	 0.0175342 0.000608519	 0.00759638 0.000288298	 0.00415069 0.000141902	 
17.5	359.103	153.5	0.0124869 0.000730611	 0.0665907 0.00223023	 0.0342378 0.00114713	 0.0160538 0.000618042	 0.00823432 0.000341357	 0.00446245 0.000171168	 
18.5	344.821	148.5	0.0118578 0.000613955	 0.0693164 0.00220919	 0.0363124 0.00136518	 0.018069 0.000637087	 0.00874802 0.000327169	 0.00473309 0.000177559	 
19.5	330.437	143.5	0.0138742 0.000751682	 0.0718142 0.00224544	 0.0334821 0.00146936	 0.0168455 0.000604325	 0.008962 0.000355173	 0.00477354 0.000176033	 
20.5	318.936	139	0.0144597 0.000795041	 0.0722317 0.0024531	 0.0347422 0.00129549	 0.0186682 0.000730076	 0.00822582 0.000361915	 0.00476191 0.000166351	 
21.5	303.515	134.5	0.0133129 0.000743224	 0.074332 0.00254588	 0.0358107 0.00126567	 0.0182949 0.000657305	 0.00828668 0.000289377	 0.00431691 0.000206843	 
22.5	292.246	130	0.0131175 0.000847356	 0.0756048 0.00224274	 0.0360195 0.00134039	 0.0171059 0.000625853	 0.00857798 0.000322228	 0.00454804 0.000165131	 
23.5	281.209	125.5	0.0118134 0.000603032	 0.0756698 0.00233602	 0.0362578 0.00126643	 0.0168011 0.000548	 0.00845441 0.000313111	 0.00477549 0.000188356	 
24.5	269.09	121	0.0142048 0.000981069	 0.0772283 0.00234162	 0.0341979 0.00118702	 0.0169999 0.000572584	 0.00857052 0.000310244	 0.00437045 0.000160221	 
25.5	258.016	117	0.014608 0.000737837	 0.0806445 0.00239377	 0.0330932 0.00119092	 0.0175828 0.000585622	 0.00839053 0.00030474	 0.0045801 0.000176991	 
26.5	245.41	113	0.0140619 0.000781768	 0.0815572 0.00223653	 0.0365283 0.0012199	 0.0182903 0.000616223	 0.00849544 0.000319703	 0.00457605 0.000146794	 
27.5	237.334	109	0.0149099 0.000901057	 0.0771036 0.00237067	 0.0374245 0.00132318	 0.0187718 0.000640343	 0.00890824 0.00036328	 0.00475556 0.000197184	 
28.5	226.855	105	0.0148294 0.000732847	 0.0796988 0.00236381	 0.0377307 0.00141103	 0.0183303 0.00062831	 0.00864562 0.000312815	 0.00448381 0.000180744	 
29.5	217.196	101.5	0.0145708 0.000715884	 0.0852311 0.00266977	 0.034037 0.00108355	 0.0179418 0.000687006	 0.00857452 0.000323989	 0.00466655 0.000159806	 
30.5	209.496	98	0.0159383 0.000859289	 0.0840119 0.00242235	 0.0353047 0.00122722	 0.0172643 0.000598578	 0.0090815 0.000327806	 0.00438076 0.000152314	 
31.5	198.718	94.5	0.0156991 0.000878064	 0.0823637 0.0023299	 0.0354022 0.00114168	 0.0182442 0.000615092	 0.00880366 0.000296338	 0.00475544 0.0001777	 
32.5	190.452	91	0.0164 0.000825396	 0.0851207 0.0025797	 0.0356816 0.00115879	 0.0177901 0.000610259	 0.00863398 0.000291769	 0.00427323 0.000156812	 
33.5	181.607	87.5	0.0159216 0.00100086	 0.090602 0.00242719	 0.0368985 0.0012806	 0.0188194 0.000661595	 0.0087544 0.000349944	 0.0047054 0.000196848	 
34.5	173.142	84.5	0.0156093 0.00109944	 0.0891556 0.00264701	 0.0351281 0.00149885	 0.0183701 0.000657532	 0.00855078 0.000317804	 0.00440266 0.000159781	 
35.5	165.828	81	0.0146498 0.000769842	 0.0859709 0.00252051	 0.0354087 0.00117571	 0.0171503 0.000674402	 0.00865426 0.0003182	 0.00434173 0.000172676	 
36.5	160.154	77.5	0.015459 0.000948182	 0.085619 0.00295105	 0.0367481 0.00125551	 0.0160168 0.000698633	 0.00877569 0.00037592	 0.00431746 0.000186981	 
37.5	152.627	74.5	0.017166 0.00104851	 0.088069 0.00287488	 0.0349831 0.00131899	 0.0179651 0.000772014	 0.00870048 0.000361158	 0.00475664 0.000185224	 
38.5	145.308	71.5	0.0184168 0.00112225	 0.0884233 0.00250364	 0.0345285 0.00118829	 0.0177376 0.000650705	 0.00888731 0.000322836	 0.00468171 0.000183505	 
39.5	137.376	69	0.0166755 0.000948418	 0.0915077 0.00245739	 0.035651 0.00128303	 0.0171859 0.000623096	 0.00927744 0.00034494	 0.00454835 0.000196886	 
40.5	131.622	66.5	0.0181517 0.00104483	 0.0913858 0.00262303	 0.0346871 0.00132173	 0.0170422 0.000684193	 0.00868073 0.000342226	 0.0044981 0.000180014	 
41.5	125.982	63.5	0.0193921 0.00117613	 0.0873029 0.00269016	 0.0371069 0.00121186	 0.0172892 0.000716916	 0.00873168 0.000362247	 0.00469231 0.000230026	 
42.5	118.446	61	0.0174851 0.00104764	 0.092104 0.00256542	 0.035147 0.00108931	 0.017143 0.000585938	 0.00855593 0.00035693	 0.00420619 0.000183258	 
43.5	112.753	58.5	0.0175756 0.000957545	 0.090504 0.00291595	 0.0353167 0.00131951	 0.0171427 0.000624534	 0.00754327 0.000267029	 0.00434489 0.000190149	 
44.5	108.114	56	0.0186136 0.00141449	 0.0943157 0.00308942	 0.0340091 0.00118702	 0.0186275 0.000819598	 0.00876846 0.000433751	 0.00468198 0.000247358	 
45.5	102.585	53.5	0.0185401 0.00114401	 0.0933297 0.00263583	 0.0330754 0.00110871	 0.0177527 0.000713778	 0.00818337 0.000291969	 0.00430455 0.000190809	 
46.5	96.941	51	0.0188928 0.00123869	 0.0964495 0.0028486	 0.0332517 0.00116622	 0.0186191 0.000764733	 0.00884182 0.000335276	 0.00461869 0.00024117	 
47.5	91.7766	49	0.018385 0.00101193	 0.0952196 0.00302881	 0.0329089 0.00131207	 0.0178267 0.000733958	 0.00786375 0.000278521	 0.00435149 0.000188474	 
48.5	87.3457	47	0.0171227 0.00101908	 0.0901498 0.00270286	 0.0325461 0.00108749	 0.0166097 0.000624253	 0.00800118 0.000283965	 0.00402199 0.000164062	 
