Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
0.5	724.117	252.5	-1.32889e-08 5.54884e-09	2.84956e-07 1.47796e-07	-1.76694e-08 6.02469e-08	-4.16973e-09 8.61784e-09	6.37262e-10 2.28701e-10	-7.62556e-12 3.30913e-11	
1.5	670.124	244.5	-5.79426e-09 2.77011e-09	2.01344e-07 2.46219e-07	1.91792e-08 4.70605e-08	1.67974e-09 3.80364e-09	-2.65428e-11 2.69592e-10	-1.75589e-11 2.45107e-11	
2.5	640.396	239	-7.22846e-09 2.66924e-09	5.59763e-07 2.87702e-07	1.07366e-07 4.98864e-08	-1.16849e-08 1.69006e-08	4.36024e-10 2.0457e-10	9.69816e-12 1.81445e-11	
3.5	614.986	233	-5.9177e-09 2.18203e-09	-1.29278e-07 3.93713e-07	1.86525e-08 6.04067e-08	2.57822e-09 5.27569e-09	4.45914e-10 2.96097e-10	3.41586e-12 1.87825e-11	
4.5	587.037	227	-4.13048e-09 1.60267e-09	8.95405e-07 3.69569e-07	-2.72554e-08 8.9508e-08	9.94376e-09 5.63893e-09	5.22103e-10 3.04459e-10	-3.48145e-11 3.24159e-11	
5.5	567.251	221	-7.87111e-09 2.85313e-09	-4.71768e-08 3.91616e-07	-1.04009e-08 9.22523e-08	1.47936e-09 9.0296e-09	7.65219e-10 3.74566e-10	-4.70158e-11 3.24932e-11	
6.5	545.991	215	-1.51227e-08 1.04589e-08	9.52323e-07 4.5054e-07	-1.01131e-09 1.15431e-07	1.10235e-08 8.6198e-09	1.59728e-10 7.15136e-10	2.93207e-11 3.87617e-11	
7.5	525.359	209	-1.57006e-08 5.28583e-09	1.109e-06 5.66143e-07	-1.39108e-07 1.34329e-07	-4.64025e-10 8.00677e-09	-2.23352e-10 4.49063e-10	4.4678e-12 2.57893e-11	
8.5	505.869	203	-1.30403e-08 5.09828e-09	2.27285e-06 6.21522e-07	5.52423e-08 8.85578e-08	2.84783e-08 8.66977e-09	1.11962e-09 3.03751e-10	3.1083e-11 2.3011e-11	
9.5	486.527	197	-5.52745e-09 2.13252e-09	1.72975e-06 7.64469e-07	1.23979e-07 1.77272e-07	5.18603e-09 7.72831e-09	4.75242e-10 4.21116e-10	6.61879e-11 2.36463e-11	
