Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	576.327	226	5.69839e-13 3.25994e-13	1.23766e-10 1.93492e-10	1.56899e-12 1.43182e-11	-3.42636e-13 3.8706e-13	9.01601e-15 4.85028e-15	-1.15693e-16 8.08055e-17	
15	394.613	167.5	3.06326e-13 3.10084e-13	6.86286e-09 1.47082e-09	4.02024e-11 3.74552e-11	4.34148e-13 5.99203e-13	-1.63066e-14 8.76208e-15	7.9682e-17 2.05045e-16	
25	261.882	120.5	6.12687e-12 3.55296e-12	3.51551e-08 6.02051e-09	9.10468e-11 5.10024e-11	8.26769e-13 8.16481e-13	1.39946e-15 1.05403e-14	-1.52145e-16 2.61647e-16	
35	172.277	84	1.86035e-11 9.51512e-12	9.66948e-08 1.21768e-08	1.05534e-10 6.27188e-11	-1.54132e-12 8.8887e-13	-7.30031e-15 1.31294e-14	1.10427e-15 4.44604e-16	
45	106.66	55.5	4.56077e-11 2.41519e-11	1.12529e-07 1.85713e-08	1.18785e-11 4.10889e-11	4.23567e-12 4.05699e-12	5.83982e-15 1.85442e-14	8.45766e-15 4.80445e-15	
55	61.3711	34.5	8.17158e-12 9.50588e-12	8.44087e-08 1.89178e-08	-3.86058e-11 1.66135e-11	2.22451e-13 2.4432e-12	-5.65097e-15 5.02855e-15	1.57175e-15 7.564e-16	
65	33.8058	20	-5.62661e-13 3.04201e-12	2.57722e-08 1.30948e-08	-1.2504e-11 6.35688e-12	-1.89437e-12 7.29193e-13	-3.08912e-15 1.79196e-15	6.34208e-16 3.83961e-16	
75	15.8147	10.5	2.11075e-12 1.54769e-12	-2.80159e-08 2.85068e-09	5.8332e-13 1.01957e-12	-4.99237e-13 1.87093e-13	2.77256e-17 1.96197e-16	2.26998e-17 1.45925e-17	
85	6.18371	5	1.85172e-12 7.14292e-13	-1.0537e-09 7.27519e-10	1.3206e-13 1.22486e-13	3.73271e-14 1.24207e-14	4.84049e-18 2.04483e-18	1.22084e-18 5.01811e-19	
95	3.35477	2.5	-4.10958e-19 5.3394e-18	-7.51811e-18 9.14215e-17	-2.14609e-21 2.7463e-20	-2.16048e-23 2.63306e-22	-1.14531e-25 1.61794e-24	-6.54198e-29 8.19862e-28	
