Cent%	 dNdy	 Npart	 v2{6}/v2{4} err	 v3{6}/v3{4} err	 v4{6}/v4{4} err
5	576.327	226	0.86732 0.169312 1.71966 nan nan nan 
15	394.613	167.5	1.00853 0.0231474 1.42945 0.646751 0.927803 0.151956 
25	261.882	120.5	0.971601 0.00910703 1.09995 0.0924821 0.920389 0.122158 
35	172.277	84	0.996066 0.00985019 1.0745 0.14872 nan nan 
45	106.66	55.5	0.972196 0.00821983 0.766124 0.380565 nan nan 
55	61.3711	34.5	0.97055 0.0191218 nan nan nan nan 
65	33.8058	20	0.899487 0.0429289 nan nan nan nan 
75	15.8147	10.5	nan nan nan nan nan nan 
85	6.18371	5	nan nan nan nan nan nan 
95	3.35477	2.5	nan nan nan nan nan nan 
