Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	614.012	226	0.237225 2.53257e-05	0.23676 0.000101041	0.0074606 0.00188804	0.172003 3.06295e-06	0.173419 9.37277e-06	-0.0278024 0.000127625	
15	418.264	167.5	0.220293 2.86263e-07	0.213172 0.000115158	0.0582635 0.00131151	0.150611 8.17701e-06	0.154418 8.69697e-06	-0.0434617 0.000164828	
25	280.296	120.5	0.209161 4.89063e-06	0.189516 1.83379e-05	0.101677 0.000109235	0.124917 1.25117e-05	0.134856 1.55991e-05	-0.0777036 8.21112e-05	
35	182.724	84	0.192611 2.31496e-06	0.171212 1.21916e-05	0.0806606 3.76179e-05	0.103822 2.21565e-06	0.110028 3.22858e-05	-0.0372326 0.000301084	
45	112.722	55.5	0.17379 2.63264e-05	0.150069 0.000429544	0.0701807 0.00125861	0.08112 5.32715e-06	0.0933012 2.20339e-05	-0.0553765 8.41987e-05	
55	65.2771	34.5	0.151609 3.75263e-06	0.124982 0.00171155	0.0648786 0.00273315	0.0569687 8.11256e-06	0.0712575 2.70657e-05	-0.058215 7.58696e-05	
65	35.9197	20	0.118521 1.6687e-06	0.12337 0.000143798	-0.01006 0.000445517	0.0333574 1.37132e-07	0.0546459 1.93297e-06	-0.0769149 5.63726e-06	
75	16.891	10.5	0.0762904 1.19901e-05	0.121388 0.000116116	-0.0851085 0.000347474	0.0166609 3.65688e-05	0.0329772 5.83653e-05	-0.051703 6.00783e-05	
85	6.51227	5	0.0445945 1.17498e-05	0.104707 2.0302e-06	-0.113054 7.43956e-06	0.00751356 2.84451e-06	0.0201155 8.63592e-06	-0.0356977 1.75382e-05	
95	3.40377	2.5	0.0346172 5.52217e-08	0.125343 5.31019e-07	-0.230343 1.09895e-06	0.00313943 3.0431e-09	0.0378028 3.62003e-08	-0.0803623 7.70014e-08	
