Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	614.012	226	0.0110955 0.000151083	 0.0451367 0.00038663	 0.0291437 0.000254686	 0.016376 0.000135758	 0.00780605 6.62121e-05	 0.00409896 3.70845e-05	 
15	418.264	167.5	0.0141218 0.000179264	 0.0631564 0.000457558	 0.0344403 0.000280746	 0.0177615 0.000141489	 0.00865956 7.47246e-05	 0.00460707 4.06444e-05	 
25	280.296	120.5	0.0166303 0.000225502	 0.0782384 0.000557087	 0.0360788 0.000291074	 0.0182559 0.000149054	 0.00888828 7.55012e-05	 0.0048494 4.49687e-05	 
35	182.724	84	0.0196902 0.000275553	 0.0863161 0.000621682	 0.0359706 0.000311274	 0.0180867 0.000156708	 0.00886409 8.02627e-05	 0.00472044 4.42506e-05	 
45	112.722	55.5	0.0212364 0.0003162	 0.0901354 0.000691016	 0.0340209 0.000296035	 0.0172343 0.000177636	 0.0083029 8.28634e-05	 0.00444406 5.20921e-05	 
55	65.2771	34.5	0.021967 0.000320148	 0.0910184 0.00073633	 0.0279508 0.000274635	 0.0169468 0.000196832	 0.00712418 7.31423e-05	 0.00396994 5.18389e-05	 
65	35.9197	20	0.0186452 0.000298039	 0.0839191 0.000769223	 0.0210571 0.000238157	 0.0147049 0.000195888	 0.0054078 6.66004e-05	 0.00317407 4.64638e-05	 
75	16.891	10.5	0.0138697 0.000250635	 0.0638928 0.000836103	 0.0128649 0.000199555	 0.0104564 0.000185573	 0.00324619 5.29066e-05	 0.00197277 3.69933e-05	 
85	6.51227	5	0.00987243 0.000257734	 0.0352572 0.000855488	 0.00596633 0.000157533	 0.00394607 0.000130218	 0.00107597 2.74061e-05	 0.000824853 2.16551e-05	 
95	3.40377	2.5	0.00662384 0.00357441	 0.0175474 0.00816342	 0.00290207 0.00107059	 0.000886633 0.000515582	 0.000273209 0.000136621	 0.000375987 0.000210182	 
