Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	765.224	252.5	0.624253 0.0662055	-0.594529 0.211165	0.169999 1.41384	
1.5	710.628	244.5	0.393115 0.332046	0.521029 0.111841	0.624369 0.0702283	
2.5	679.837	239	0.689637 0.0579766	0.599945 0.08132	-0.671723 0.256011	
3.5	652.104	233	0.484491 0.169131	0.346042 0.444406	0.469367 0.193395	
4.5	625.6	227	0.576438 0.112139	-0.533336 0.232953	0.61423 0.0859956	
5.5	604.367	221	0.495255 0.154545	-0.531336 0.167324	0.449449 0.218568	
6.5	579.379	215	0.567841 0.0886279	0.522951 0.13942	0.583548 0.0874315	
7.5	557.966	209	0.623133 0.0722787	-0.626299 0.12644	0.525314 0.114908	
8.5	538.001	203	0.528502 0.113131	0.372195 0.382929	0.697518 0.0461969	
9.5	516.639	197	0.652694 0.0709836	0.504979 0.165258	0.596545 0.0839847	
10.5	499.655	191	0.47984 0.205073	0.514881 0.151587	-0.370737 0.330303	
11.5	478.47	185	0.710343 0.0443969	0.42297 0.251393	0.678173 0.0537468	
12.5	460.343	179.5	0.736634 0.0397012	0.461594 0.212968	0.272405 1.28663	
13.5	443.072	174	0.683289 0.0657388	0.529092 0.122621	-0.516618 0.162889	
14.5	426.237	168.5	0.745044 0.0306619	0.284741 0.861291	0.565225 0.107439	
15.5	412.475	163.5	0.770367 0.0281525	0.497002 0.160641	0.694146 0.039848	
16.5	393.471	158.5	0.743888 0.0347027	0.549764 0.110489	0.607639 0.0835093	
17.5	380.615	153.5	0.712828 0.0402169	0.662642 0.0568637	0.444722 0.220962	
18.5	366.356	148.5	0.735678 0.0355111	0.306401 0.688543	0.492195 0.170423	
19.5	350.899	143.5	0.728735 0.0355881	-0.546055 0.193737	0.591116 0.0739022	
20.5	338.462	139	0.693503 0.0430768	0.351044 0.410972	0.254543 1.29937	
21.5	322.186	134.5	0.690688 0.0431151	0.625844 0.0931982	0.632232 0.0744868	
22.5	310.932	130	0.78068 0.0228616	0.438759 0.237401	0.427569 0.243136	
23.5	297.429	125.5	0.776851 0.0291283	0.596782 0.0765523	0.686278 0.0426688	
24.5	286.387	121	0.745118 0.028232	0.594075 0.0885969	0.409208 0.285432	
25.5	273.603	117	0.757993 0.0287944	0.622352 0.0844255	0.642686 0.0590494	
26.5	262.438	113	0.723697 0.0376701	0.565636 0.097855	-0.499294 0.186368	
27.5	252.173	109	0.778519 0.0243027	0.494842 0.161205	0.278541 1.16953	
28.5	242.589	105	0.745121 0.0374697	-0.610312 0.119606	0.493511 0.17092	
29.5	231.923	101.5	0.704703 0.0414158	0.691367 0.0485456	-0.253129 1.25855	
30.5	222.427	98	0.803868 0.0213917	0.590485 0.0804525	0.562151 0.0945207	
31.5	211.958	94.5	0.763741 0.0276389	0.497294 0.145535	0.473489 0.166223	
32.5	201.846	91	0.725475 0.0464565	0.544396 0.110148	0.576876 0.0825498	
33.5	192.966	87.5	0.767169 0.0263778	0.535814 0.120952	0.589471 0.0817102	
34.5	184.593	84.5	0.776789 0.0263721	-0.554479 0.170179	0.642897 0.0712326	
35.5	176.278	81	0.766845 0.0292606	0.5153 0.153448	0.249964 1.21842	
36.5	168.46	77.5	0.745932 0.0308607	0.664572 0.0527225	0.259108 1.23352	
37.5	161.166	74.5	0.754943 0.0300601	-0.316183 0.640318	-0.559155 0.204659	
38.5	154.51	71.5	0.80101 0.0221921	0.685536 0.0541455	0.480137 0.176194	
39.5	145.483	69	0.813615 0.0191419	0.528382 0.131438	0.538256 0.122359	
40.5	139.238	66.5	0.804065 0.0210753	0.466112 0.206459	-0.422332 0.327164	
41.5	132.208	63.5	0.759367 0.0321709	0.537786 0.103681	-0.648407 0.171543	
42.5	125.499	61	0.793164 0.02123	0.719863 0.0395234	0.484095 0.154485	
43.5	118.882	58.5	0.72929 0.0366222	0.549599 0.099935	-0.66171 0.182099	
44.5	114.066	56	0.759707 0.0303827	0.702362 0.0409672	-0.680017 0.101047	
45.5	108.596	53.5	0.760424 0.0295656	0.627862 0.0679189	-0.554751 0.155282	
46.5	102.64	51	0.778865 0.0240022	0.655862 0.0534796	-0.635511 0.106979	
47.5	97.3422	49	0.738638 0.0337049	0.6355 0.0628689	-0.652268 0.14584	
48.5	92.088	47	0.767534 0.0270066	0.633838 0.0707908	-0.574984 0.129704	
49.5	87.3387	44.5	0.77366 0.0295853	0.541078 0.131465	-0.638102 0.140521	
