Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	614.012	226	0.293405 0.278237	-0.426592 0.117724	0.514805 0.0488802	
15	418.264	167.5	0.701541 0.0155457	0.449177 0.0776023	0.538155 0.0421524	
25	280.296	120.5	0.735826 0.0116483	0.551694 0.0404756	0.515649 0.0540549	
35	182.724	84	0.766534 0.0100997	0.484124 0.0699182	0.478861 0.0633943	
45	112.722	55.5	0.75744 0.0108695	0.607082 0.0276482	-0.678667 0.0562201	
55	65.2771	34.5	0.769078 0.0113398	0.450175 0.086979	-0.763387 0.0337282	
65	35.9197	20	0.709498 0.0162428	-0.607722 0.0517134	-0.871227 0.02542	
75	16.891	10.5	-0.727239 0.0299674	-0.944867 0.0275152	-1.07836 0.0232941	
85	6.51227	5	-1.2215 0.0219851	-1.29546 0.03445	-1.49189 0.0294851	
95	3.40377	2.5	-1.30747 0.242442	-1.19398 0.396914	-1.41396 0.352408	
