Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	765.224	252.5	1.34722 0.046661
1.5	710.628	244.5	1.41214 0.0497512
2.5	679.837	239	1.41799 0.0483595
3.5	652.104	233	1.57164 0.0594254
4.5	625.6	227	1.51157 0.0540137
5.5	604.367	221	1.44128 0.053206
6.5	579.379	215	1.59514 0.0551495
7.5	557.966	209	1.58268 0.0586893
8.5	538.001	203	1.78305 0.0664065
9.5	516.639	197	1.62857 0.0586655
10.5	499.655	191	1.783 0.0616786
11.5	478.47	185	1.75009 0.0594531
12.5	460.343	179.5	1.76471 0.0598415
13.5	443.072	174	1.78961 0.0624612
14.5	426.237	168.5	1.77148 0.0575314
15.5	412.475	163.5	1.89452 0.060892
16.5	393.471	158.5	1.83323 0.061644
17.5	380.615	153.5	1.90355 0.0659307
18.5	366.356	148.5	1.87118 0.0640438
19.5	350.899	143.5	2.01841 0.0696447
20.5	338.462	139	2.0302 0.0732883
21.5	322.186	134.5	2.06223 0.0700461
22.5	310.932	130	2.10241 0.0703352
23.5	297.429	125.5	2.13941 0.06886
24.5	286.387	121	2.22008 0.0736736
25.5	273.603	117	2.28652 0.0751981
26.5	262.438	113	2.17904 0.0721633
27.5	252.173	109	2.18431 0.0731196
28.5	242.589	105	2.17203 0.0832317
29.5	231.923	101.5	2.30339 0.0774255
30.5	222.427	98	2.2985 0.0774568
31.5	211.958	94.5	2.24185 0.0739644
32.5	201.846	91	2.32923 0.0783626
33.5	192.966	87.5	2.30664 0.0817484
34.5	184.593	84.5	2.37663 0.0884179
35.5	176.278	81	2.52548 0.0900651
36.5	168.46	77.5	2.46955 0.0902891
37.5	161.166	74.5	2.39469 0.0893915
38.5	154.51	71.5	2.55714 0.0839525
39.5	145.483	69	2.62686 0.0913558
40.5	139.238	66.5	2.7577 0.0980978
41.5	132.208	63.5	2.43752 0.0854472
42.5	125.499	61	2.61836 0.0887145
43.5	118.882	58.5	2.55022 0.0962972
44.5	114.066	56	2.63659 0.0931374
45.5	108.596	53.5	2.7008 0.0968986
46.5	102.64	51	2.71821 0.0988847
47.5	97.3422	49	2.82584 0.108835
48.5	92.088	47	2.58465 0.0919502
49.5	87.3387	44.5	2.92055 0.108775
50.5	82.2462	42	2.95524 0.106018
51.5	77.8462	40	2.964 0.117073
52.5	74.3433	38.5	3.39465 0.127166
53.5	69.0215	37	3.27381 0.115273
54.5	65.275	35	3.28997 0.120501
55.5	62.4713	33	3.22367 0.124001
56.5	59.0788	31.5	3.33289 0.139606
57.5	55.3758	30	3.38315 0.123961
58.5	51.6647	28.5	3.40819 0.126718
59.5	49.2807	27	3.6393 0.135319
60.5	46.3367	25.5	3.5182 0.124715
61.5	43.5407	24	3.82918 0.136834
62.5	40.6548	22.5	3.82784 0.143196
63.5	37.8826	21.5	3.90374 0.141486
64.5	35.7706	20.5	4.48069 0.159619
65.5	34.0261	19	4.19434 0.159389
66.5	31.9111	17.5	4.02745 0.170172
67.5	29.4283	16.5	4.44841 0.181466
68.5	28.0882	15.5	4.3137 0.166039
69.5	26.2583	14.5	4.47783 0.175432
70.5	23.9855	13.5	4.62891 0.180984
71.5	22.2321	13	4.5645 0.181645
72.5	20.7965	12.5	4.85447 0.198407
73.5	19.2497	11.5	4.55816 0.194046
74.5	17.3617	10.5	4.72791 0.200578
75.5	15.9991	10	4.76796 0.218531
76.5	14.6318	9.5	5.04589 0.207682
77.5	13.3865	8.5	4.83412 0.198252
78.5	12.2447	8	4.85918 0.221871
79.5	11.1686	7.5	5.00762 0.21831
80.5	10.1474	7	4.89301 0.223635
81.5	9.21518	6.5	5.01853 0.249633
82.5	8.25962	6	5.40847 0.287342
83.5	7.45596	5.5	5.66225 0.282586
84.5	6.77315	5	5.28176 0.303995
85.5	5.97093	4.5	5.77738 0.364437
86.5	5.31518	4	6.96509 0.39067
87.5	4.7353	4	6.75298 0.433618
88.5	4.15899	4	8.04235 0.550986
89.5	3.6087	3.5	8.01491 0.555579
90.5	3.40377	3	6.0465 2.91935
91.5	nan	3	nan nan
92.5	nan	2.5	nan nan
93.5	nan	2	nan nan
94.5	nan	2	nan nan
95.5	nan	2	nan nan
96.5	nan	2	nan nan
97.5	nan	2	nan nan
98.5	nan	2	nan nan
99.5	nan	0	nan nan
